qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,BERT,Perp_ans,IDK,Time
0,2010,2010,1.0,1.0,1.0,1.0,0,1,1.000000238418579,1.0070970480747699,0,0.009399183591206868
1,the world’s top ten,among the world’s top ten cities,0.75,1.0,0.75,0.8571428571428571,13,0,0.7683252096176147,1.0829447107145276,0,0.01615614096323649
2,1983,1983,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.0057177384509108,0,0.009447654088338217
3,centre of Bern,Bern,0.3333333333333333,0.3333333333333333,1.0,0.5,10,0,0.6026480197906494,1.0627968947541144,0,0.00962752103805542
4,the centre of Bern,Bern,0.25,0.25,1.0,0.4,14,0,0.6080091595649719,1.0496126002696802,0,0.009801844755808512
5,In the 18th century,In the 18th century,1.0,1.0,1.0,1.0,0,1,1.0,1.0774521199050182,0,0.011580189069112143
6,(1672–1727),1672–1727,0.3333333333333333,0.3333333333333333,1.0,0.5,2,0,0.7246124744415283,1.0975256347585798,0,0.011755045255025227
7,Black Guard,Confederate States,0.0,0.0,0.0,0.0,15,0,0.39711663126945496,1.0880557368537995,0,0.013657887776692709
8,"150,000","150,000",1.0,1.0,1.0,1.0,0,1,1.0,1.0084861044704287,0,0.010040720303853353
9,coerced the country into submission.,coerced the country into submission,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0,0.9281632900238037,1.0396574533041827,0,0.013467800617218018
10,1837,1837,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0041250584790233,0,0.009954118728637695
11,United Kingdom,United Kingdom,1.0,1.0,1.0,1.0,0,1,1.0,1.0177576290613848,0,0.009964187939961752
12,Royal Institute of British Architects,Royal Institute of British Architects,1.0,1.0,1.0,1.0,0,1,1.0,1.0085199338670257,0,0.012860222657521566
13,1971,IDK,0.0,0.0,0.0,0.0,4,0,0.4526032507419586,1.0622888670106574,1,0.012184997399648031
