qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,BERT,Perp_ans,IDK,Time
0,Cover Boy,Cover Boy,1.0,1.0,1.0,1.0,0,1,1.0,1.0004886982669627,0,0.012541329860687256
1,Die Pratermizzi,Die Pratermizzi,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.000687488814253,0,0.013606258233388265
2,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.0223254039137486,0,0.011432003974914551
3,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.003134702701004,0,0.014240801334381104
4,La Procesión,La Procesión,1.0,1.0,1.0,1.0,0,1,1.0,1.0005925932089876,0,0.016530291239420573
5,Akarshan,Akarshan,1.0,1.0,1.0,1.0,0,1,1.0,1.0084936161966163,0,0.015910538037618
6,French,Canadian-born French,0.5,1.0,0.5,0.6666666666666666,14,0,0.5973199009895325,1.2676317401123443,0,0.015727762381235758
7,Secret Venture,Secret Venture,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.0022095998057963,0,0.014729519685109457
8,Jim Sterling,Jim Sterling,1.0,1.0,1.0,1.0,0,1,1.0,1.0226357080103885,0,0.014522981643676759
9,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.0934850836018095,0,0.014234824975331625
10,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.0188897264554175,0,0.014395201206207275
11,To Play Or To Die,Sons of Ram,0.0,0.0,0.0,0.0,14,0,0.3847385048866272,1.1258404682972512,0,0.017431835333506267
12,Il Seduttore,Il seduttore,0.3333333333333333,0.5,0.5,0.5,1,0,1.0,1.0318414468487107,0,0.01754260857899984
13,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.0182464593537313,0,0.014116470019022625
14,no,no,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0097963322855141,0,0.014088996251424154
15,Brooklyn,Brooklyn College,0.5,1.0,0.5,0.6666666666666666,8,0,0.6035786867141724,1.0003039188377743,0,0.014953891436258951
16,A Thunder Of Drums,A Thunder of Drums,0.6,0.75,0.75,0.75,1,0,1.0,1.0085893050239263,0,0.01658896605173747
17,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.0985350099187412,0,0.014454027016957601
18,Argentine,Argentina,0.0,0.0,0.0,0.0,1,0,0.8122938275337219,1.2787921168414946,0,0.013934723536173503
19,Béziers,"Béziers, Hérault",0.3333333333333333,1.0,0.3333333333333333,0.5,9,0,0.7603538036346436,1.0014069873283629,0,0.018635753790537515
20,Brazil,Brazilian,0.0,0.0,0.0,0.0,3,0,0.7761107087135315,1.142317037517517,0,0.014392515023549398
21,Xavier Florencio,Dimitris Souanis,0.0,0.0,0.0,0.0,12,0,0.4460925757884979,1.0039482209758044,0,0.018281972408294676
22,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.0054537572859976,0,0.014459681510925294
23,Cinderella Of The Hills,Cinderella of the Hills,0.3333333333333333,0.5,0.5,0.5,2,0,0.9999998807907104,1.0065223895181896,0,0.018642175197601318
