qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,BERT,Perp_ans,IDK,Time
0,Cover Boy,Yonkers Joe,0.0,0.0,0.0,0.0,6,0,0.3476007580757141,1.050255547705989,0,0.01420207420984904
1,Die Pratermizzi,Die Pratermizzi,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0453157997829858,0,0.01420207420984904
2,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.1530228924125092,0,0.0039406418800354
3,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.2559792725220287,0,0.0039406418800354
4,La Procesión,La Procesión,1.0,1.0,1.0,1.0,0,1,1.0,1.1063117440949688,0,0.005818605422973633
5,Akarshan,Akarshan,1.0,1.0,1.0,1.0,0,1,1.0,1.0705309381105215,0,0.005818605422973633
6,French,France,0.0,0.0,0.0,0.0,2,0,0.7987915873527527,3.787331541892624,0,0.004981972773869832
7,Secret Venture,Man In Blues,0.0,0.0,0.0,0.0,12,0,0.42847052216529846,1.1226134282879572,0,0.004981972773869832
8,Jim Sterling,Jim Sterling,1.0,1.0,1.0,1.0,0,1,1.0,1.2929976134005399,0,0.004221041997273763
9,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.2915452337437938,0,0.004221041997273763
10,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.0595211568318774,0,0.004940042893091838
11,To Play Or To Die,Sons Of Ram,0.0,0.0,0.0,0.0,13,0,0.3847385048866272,1.1683945632153314,0,0.004940042893091838
12,Il Seduttore,Woman Without A Past,0.0,0.0,0.0,0.0,17,0,0.20871469378471375,1.0965608773386535,0,0.004959768056869507
13,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.0728209162049163,0,0.004959768056869507
14,no,no,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0793844445517091,0,0.005363011360168457
15,Brooklyn,"University of California, Berkeley",0.0,0.0,0.0,0.0,29,0,0.39321276545524597,2.2043677832645687,0,0.005363011360168457
16,A Thunder Of Drums,A Thunder Of Drums,1.0,1.0,1.0,1.0,0,1,1.0,1.0491924821456902,0,0.005350345373153686
17,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.140058761091956,0,0.005350345373153686
18,Argentine,France,0.0,0.0,0.0,0.0,6,0,0.6051766276359558,2.7311867101008516,0,0.0038627962271372478
19,Béziers,London,0.0,0.0,0.0,0.0,7,0,0.3884393870830536,6.087944758580164,0,0.0038627962271372478
20,Brazil,American,0.0,0.0,0.0,0.0,7,0,0.45168691873550415,2.231191257369395,0,0.006430739164352417
21,Xavier Florencio,Dimitris Souanis,0.0,0.0,0.0,0.0,12,0,0.4460925757884979,1.0382975800489291,0,0.006430739164352417
22,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.0927332729519146,0,0.005810703833897909
23,Cinderella Of The Hills,Cinderella Of The Hills,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.036534017464347,0,0.005810703833897909
24,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.0929252770245153,0,0.003922406832377116
25,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.1882714886307282,0,0.003922406832377116
26,William Henry Thompson,Jacob J. Schwartzwald,0.0,0.0,0.0,0.0,22,0,0.5453094244003296,1.1544268379655962,0,0.005677654345830282
27,The King Of The Kickboxers,Kenny & Company,0.0,0.0,0.0,0.0,22,0,0.30196061730384827,1.044886916878794,0,0.005677654345830282
28,no,no,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.1757457575928287,0,0.004608535766601562
29,Ismael Íñiguez,Fred Kornet,0.0,0.0,0.0,0.0,11,0,0.3639824688434601,1.125077913489051,0,0.004608535766601562
30,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.0852835346910985,0,0.0039054473241170247
31,French,Paris,0.0,0.0,0.0,0.0,6,0,0.6714432835578918,2.8039605673372274,0,0.0039054473241170247
32,Girl On The Bridge,Girl On The Bridge,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0649346602300587,0,0.005742899576822917
33,Khubsoorat,Khubsoorat,1.0,1.0,1.0,1.0,0,1,1.0,1.0909215413316962,0,0.005742899576822917
34,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.122754091242666,0,0.0050940434137980144
35,Les Résultats Du Féminisme,Out Of The Rain,0.0,0.0,0.0,0.0,21,0,0.263956218957901,1.0626708640669642,0,0.0050940434137980144
36,German,France,0.0,0.0,0.0,0.0,5,0,0.6838068962097168,2.955054612360945,0,0.005352284510930379
37,Honeymoons,Moabite Notebook,0.0,0.0,0.0,0.0,12,0,0.4574885070323944,1.086587589876471,0,0.005352284510930379
38,John Hopkins The Third,Come Again Smith,0.0,0.0,0.0,0.0,16,0,0.2951589822769165,1.205864027956277,0,0.005040347576141357
39,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.0520017103445696,0,0.005040347576141357
40,Departure Of A Grand Old Man,Departure Of A Grand Old Man,1.0,1.0,1.0,1.0,0,1,1.0,1.0364291333178501,0,0.007113341490427653
41,Rona Randall,Rona Randall,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0161280000386748,0,0.007113341490427653
42,Without The King,Without The King,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.131771078917,0,0.004910129308700562
43,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.1403009308904088,0,0.004910129308700562
44,The Shanghai Story,The Shanghai Story,1.0,1.0,1.0,1.0,0,1,1.0,1.1604296962484915,0,0.007638289531071981
45,Le Droit À La Vie,Le Droit  La Vie,0.8,0.8,1.0,0.888888888888889,1,0,0.9195334911346436,1.080553776715293,0,0.007638289531071981
46,Zdeněk Svěrák,John Huston,0.0,0.0,0.0,0.0,11,0,0.3921326994895935,4.806855515194778,0,0.004637191692988078
47,Every Blessed Day,Every Blessed Day,1.0,1.0,1.0,1.0,0,1,1.0,1.043677449984627,0,0.004637191692988078
48,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.1040401274415819,0,0.006062235434850057
49,Aaj Ki Baat,"Oh, Grandmother'S Dead",0.0,0.0,0.0,0.0,19,0,0.20279917120933533,1.109775043102589,0,0.006062235434850057
50,American,IDK,0.0,0.0,0.0,0.0,8,0,0.3981325328350067,2.2643479484649256,1,0.004316433270772298
51,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.0930445723307958,0,0.004316433270772298
52,Night Of The Seagulls,Night Of The Seagulls,1.0,1.0,1.0,1.0,0,1,1.0,1.103386739201383,0,0.006152451038360596
53,For The Service,The Flight From Love,0.16666666666666666,0.3333333333333333,0.25,0.28571428571428575,16,0,0.3289400041103363,1.1378316495376488,0,0.006152451038360596
54,Far Away And Long Ago,I Always Loved You,0.0,0.0,0.0,0.0,14,0,0.33769336342811584,1.0316000589975218,0,0.005381478865941366
55,Jones Morgan,Jones Morgan,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.1541975074444664,0,0.005381478865941366
