qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,Chrf++,BERT,Perp_ans
0,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0321038036028334
1,Joseph Jackson,Michael Joseph Jackson,0.6666666666666666,1.0,0.6666666666666666,0.8,8,0,0.8776828050613403,0.7744331955909729,1.364135919811771
2,Fifty Fathoms Deep,Fifty Fathoms Deep,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.0030751906781286
3,24 March 1634,24 March 1634,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.195862808477682
4,Academy Award for Best Story,Academy Award for Best Story,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.1052489902137383
5,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.1208465921562971
6,Rome,"Rome, Italy",0.3333333333333333,1.0,0.3333333333333333,0.5,7,0,0.4096684455871582,0.5565503239631653,1.0565284922146856
7,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.0061840826516
8,"April 22, 1868",1950,0.0,0.0,0.0,0.0,13,0,0.012019230984151363,0.39156562089920044,2.171963809229055
9,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0335835992876323
10,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.1212733295044655
11,Rome,Brussel,0.0,0.0,0.0,0.0,6,0,0.027173912152647972,0.39954766631126404,1.1333871482389433
12,David Tatham,David Tatham,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0250024592629576
13,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0611390250459245
14,shot,fatally shot him,0.3333333333333333,1.0,0.3333333333333333,0.5,12,0,0.35178568959236145,0.4782637059688568,1.217533629014532
15,"June 25, 1976",date of death unknown,0.0,0.0,0.0,0.0,18,0,0.04120684787631035,0.2719235420227051,1.2002920866332683
16,"September 26, 1979","September 26, 1979",1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.013502841540636
17,A Esposa Do Solteiro,A Esposa do Solteiro,0.6,0.75,0.75,0.75,1,0,0.6911475658416748,1.0,1.060744728975522
18,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0329713887897178
19,Dutch,place of birth,0.0,0.0,0.0,0.0,12,0,0.05859375,0.22636626660823822,1.2945904627694724
20,Hunted Men,Hunted Men,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.0096456265649383
21,Canadian,Canadian,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.0682404405792645
22,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0738935244131167
23,Different From The Others,Different from the Others,0.3333333333333333,0.5,0.5,0.5,2,0,0.5511658191680908,0.9999999403953552,1.0017411454913252
24,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0911661532174688
25,"May 22, 1998","May 22, 1998)",0.8,1.0,0.8,0.888888888888889,1,0,0.9657058119773865,0.8114138841629028,1.1211924388979448
26,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.228566887712217
27,Francis Ford,Francis Ford,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0158976844423104
28,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.2236621554188423
29,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.2242183071266848
30,3 April 1998,3 April 1998),0.75,1.0,0.75,0.8571428571428571,1,0,0.9602945446968079,0.7942830920219421,1.013716285070411
31,Joseph Peter Kinneary,Joseph Peter Kinneary,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0065134119046155
32,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.028256802278916
33,India,India,1.0,1.0,1.0,1.0,0,1,0.75,1.0000001192092896,1.4592857006061055
34,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0345032334583204
35,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0139048157637924
36,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0556774285858508
