qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,BERT,Perp_ans,IDK
0,"February 6, 2016","February 6, 2016",1.0,1.0,1.0,1.0,0,1,1.0,1.0215095900766265,0
1,Freddie Gray,Freddie Gray,1.0,1.0,1.0,1.0,0,1,1.0,1.0662162789497573,0
2,"January 7, 2012","January 7, 2012",1.0,1.0,1.0,1.0,0,1,1.0,1.0275179690258638,0
3,four nights,four nights,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.215630237606714,0
4,Ike,Hurricane Ike,0.5,1.0,0.5,0.6666666666666666,10,0,0.6041814088821411,1.1538545562450944,0
5,Hurricane Katrina,Hurricane Katrina,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0071009077294377,0
6,Beyontourage,The Beyontourage,0.5,1.0,0.5,0.6666666666666666,4,0,0.8821149468421936,1.0476187595043849,0
7,beehive,beehive,1.0,1.0,1.0,1.0,0,1,1.0,1.0103019874036439,0
8,Twitter,Twitter,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0020175984976105,0
9,2010,2010,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.010448585702749,0
10,the head of the G7 in Germany,head of the G7 in Germany,1.0,1.0,1.0,1.0,4,0,0.9370081424713135,1.1480868196861402,0
11,the ONE Campaign,the ONE Campaign,1.0,1.0,1.0,1.0,0,1,1.0,1.2005968930633624,0
12,2015,2015,1.0,1.0,1.0,1.0,0,1,1.0,1.0176198083710162,0
13,the ONE Campaign,Angela Merkel and Nkosazana Dlamini-Zuma,0.0,0.0,0.0,0.0,33,0,0.2392483502626419,1.0128558736787323,0
14,June 2013,June 2013,1.0,1.0,1.0,1.0,0,1,1.0,1.0100589853328645,0
15,Starpower: Beyoncé,Starpower: Beyoncé,1.0,1.0,1.0,1.0,0,1,1.0,1.006266110585798,0
16,House of Deréon,Beyonce's clothing line is known as Beyonce's,0.0,0.0,0.0,0.0,37,0,0.3050422668457031,1.461770299619738,0
17,2006,2006,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0055430249807216,0
18,1952–87,1986,0.0,0.0,0.0,0.0,4,0,0.5316930413246155,1.6503454340859292,0
19,950,950,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.01202672487204,0
20,1917–2015,President Emeritus,0.0,0.0,0.0,0.0,18,0,0.3389882743358612,1.0277581414805865,0
21,Our Lady of the Lake,Our Lady of the Lake,1.0,1.0,1.0,1.0,0,1,1.0,1.0150039349682498,0
22,Rudy Perez,Rudy Perez,1.0,1.0,1.0,1.0,0,1,1.0,1.0118902942213717,0
23,B'Day,B'Day,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.003539410512858,0
24,B'Day.,B'Day,0.5,0.5,1.0,0.6666666666666666,1,0,0.8751673698425293,1.0089407569893967,0
25,33,33,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0606954160904787,0
26,1849,1870s,0.0,0.0,0.0,0.0,3,0,0.8066526651382446,1.1610123969628527,0
27,Kite Realty,Kite Realty,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.0251930812399668,0
28,1842,1842,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.0048103622440439,0
29,modelling,acting,0.0,0.0,0.0,0.0,6,0,0.6284252405166626,1.2861933701692816,0
30,number 1,1,0.5,0.5,1.0,0.6666666666666666,7,0,0.7100424766540527,1.0151022500383413,0
31,People,People,1.0,1.0,1.0,1.0,0,1,1.0,1.0008733044556484,0
32,2013,January 2013,0.5,1.0,0.5,0.6666666666666666,8,0,0.7211536765098572,1.0737904204340891,0
33,The Mrs. Carter Show World Tour,The Mrs. Carter Show World Tour,1.0,1.0,1.0,1.0,0,1,1.0,1.0113584080289066,0
34,Queen Tara,George Zipp,0.0,0.0,0.0,0.0,10,0,0.3365262746810913,1.15425074482613,0
35,wide-ranging,wide-ranging,1.0,1.0,1.0,1.0,0,1,1.0,1.0282566193701301,0
36,Father Lemonnier,Theodore Hesburgh,0.0,0.0,0.0,0.0,15,0,0.4045323133468628,1.0032924052227994,0
37,hairdresser and salon owner,music,0.0,0.0,0.0,0.0,26,0,0.275800496339798,2.1869537582949663,0
38,Joseph Broussard.,Joseph Broussard,0.6666666666666666,0.6666666666666666,1.0,0.8,1,0,0.8716405630111694,1.002531231203355,0
39,salon,salon,1.0,1.0,1.0,1.0,0,1,0.9999998211860657,1.282198030745616,0
40,Joseph Broussard,Joseph Broussard,1.0,1.0,1.0,1.0,0,1,1.0,1.0026146223618086,0
41,Muammar Gaddafi.,Muammar Gaddafi,0.6666666666666666,0.6666666666666666,1.0,0.8,1,0,0.9106284976005554,1.047726351895761,0
42,The Center for Science in the Public Interest (CSPINET),The Center for Science in the Public Interest,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578948,10,0,0.8004568815231323,1.0891711564430813,0
43,Pepsi,IDK,0.0,0.0,0.0,0.0,5,0,0.5311936140060425,1.8378345234342677,1
44,Pepsi,Pepsi,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.0005941055493195,0
45,Flawless,Flawless,1.0,1.0,1.0,1.0,0,1,1.0,1.076158549846863,0
46,endorse Pepsi,endorse Pepsi,1.0,1.0,1.0,1.0,0,1,1.0,1.0046494425724828,0
47,1968,IDK,0.0,0.0,0.0,0.0,4,0,0.4377065896987915,1.2161575289648463,1
48,Global Gateways,Global Gateways,1.0,1.0,1.0,1.0,0,1,1.0,1.003774884118369,0
49,Glory,Glory,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.1614124884330133,0
50,Glory,Glory,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.122604215871842,0
51,B.I.C.,B.I.C,0.5,0.5,1.0,0.6666666666666666,1,0,0.9219895005226135,1.3773081397155447,0
52,1986,1986,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.00323740912423,0
53,Tyra Banks,Tyra Banks,1.0,1.0,1.0,1.0,0,1,1.0,1.0003652647443841,0
54,co-producing,co-producing,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.0128710515909107,0
55,co-producing credits,songwriting,0.0,0.0,0.0,0.0,15,0,0.46514615416526794,1.5597566182928768,0
56,greatest entertainer alive,greatest entertainer alive,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.1255806715073695,0
57,stage presence and voice,pop singer,0.0,0.0,0.0,0.0,20,0,0.43715956807136536,1.4948473729090006,0
58,she's almost too good,"she ""takes her role as entertainer so seriously she's almost too good.""",0.3333333333333333,1.0,0.3333333333333333,0.5,50,0,0.5670614242553711,1.0592535886326602,0
59,Suga Mama,IDK,0.0,0.0,0.0,0.0,9,0,0.4705217182636261,1.1697012234404618,1
60,2006 BET Awards,2006 BET Awards,1.0,1.0,1.0,1.0,0,1,1.0,1.1141520930949873,0
61,Suga Mama,Suga Mama,1.0,1.0,1.0,1.0,0,1,1.0,1.0026319123927758,0
