qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,BERT,Perp_ans,IDK
0,"February 6, 2016","February 6, 2016",1.0,1.0,1.0,1.0,0,1,1.0,1.0215095900766265,0
1,Freddie Gray,Freddie Gray,1.0,1.0,1.0,1.0,0,1,1.0,1.0662162789497573,0
2,"January 7, 2012","January 7, 2012",1.0,1.0,1.0,1.0,0,1,1.0,1.0275179690258638,0
3,four nights,four nights,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.215630237606714,0
4,Ike,Hurricane Ike,0.5,1.0,0.5,0.6666666666666666,10,0,0.6041814088821411,1.1538545562450944,0
5,Hurricane Katrina,Hurricane Katrina,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0071009077294377,0
6,Beyontourage,The Beyontourage,0.5,1.0,0.5,0.6666666666666666,4,0,0.8821149468421936,1.0476187595043849,0
7,beehive,beehive,1.0,1.0,1.0,1.0,0,1,1.0,1.0103019874036439,0
8,Twitter,Twitter,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0020175984976105,0
9,2010,2010,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.010448585702749,0
10,the head of the G7 in Germany,head of the G7 in Germany,1.0,1.0,1.0,1.0,4,0,0.9370081424713135,1.1480868196861402,0
11,the ONE Campaign,the ONE Campaign,1.0,1.0,1.0,1.0,0,1,1.0,1.2005968930633624,0
12,2015,2015,1.0,1.0,1.0,1.0,0,1,1.0,1.0176198083710162,0
13,the ONE Campaign,Angela Merkel and Nkosazana Dlamini-Zuma,0.0,0.0,0.0,0.0,33,0,0.2392483502626419,1.0128558736787323,0
14,June 2013,June 2013,1.0,1.0,1.0,1.0,0,1,1.0,1.0100589853328645,0
15,Starpower: Beyoncé,Starpower: Beyoncé,1.0,1.0,1.0,1.0,0,1,1.0,1.006266110585798,0
16,House of Deréon,House of Deréon,1.0,1.0,1.0,1.0,0,1,1.0,1.008053951817352,0
17,2006,2006,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0055430249807216,0
18,1952–87,1952–87,1.0,1.0,1.0,1.0,0,1,1.0,1.0180242998825868,0
19,950,950,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.01202672487204,0
20,1917–2015,1917–2015,1.0,1.0,1.0,1.0,0,1,1.0,1.2684204102295853,0
21,Our Lady of the Lake,Our Lady of the Lake,1.0,1.0,1.0,1.0,0,1,1.0,1.0150039349682498,0
22,Rudy Perez,Rudy Perez,1.0,1.0,1.0,1.0,0,1,1.0,1.0118902942213717,0
23,B'Day,B'Day,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.003539410512858,0
24,B'Day.,B'Day,0.5,0.5,1.0,0.6666666666666666,1,0,0.8751673698425293,1.0089407569893967,0
25,33,33,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0606954160904787,0
26,1849,1849,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0025611520110875,0
27,Kite Realty,Kite Realty,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.0251930812399668,0
28,1842,1842,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.0048103622440439,0
29,modelling,modelling,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.011082044785336,0
30,number 1,1,0.5,0.5,1.0,0.6666666666666666,7,0,0.7100424766540527,1.0151022500383413,0
31,People,People,1.0,1.0,1.0,1.0,0,1,1.0,1.0008733044556484,0
32,2013,January 2013,0.5,1.0,0.5,0.6666666666666666,8,0,0.7211536765098572,1.0737904204340891,0
33,The Mrs. Carter Show World Tour,The Mrs. Carter Show World Tour,1.0,1.0,1.0,1.0,0,1,1.0,1.0113584080289066,0
34,Queen Tara,Queen Tara,1.0,1.0,1.0,1.0,0,1,1.0,1.0014487122727789,0
35,wide-ranging,wide-ranging,1.0,1.0,1.0,1.0,0,1,1.0,1.0282566193701301,0
36,Father Lemonnier,Father Lemonnier,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.004308896860386,0
37,hairdresser and salon owner,hairdresser and salon owner,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.1118526027295295,0
38,Joseph Broussard.,Joseph Broussard,0.6666666666666666,0.6666666666666666,1.0,0.8,1,0,0.8716405630111694,1.002531231203355,0
39,salon,salon,1.0,1.0,1.0,1.0,0,1,0.9999998211860657,1.282198030745616,0
40,Joseph Broussard,Joseph Broussard,1.0,1.0,1.0,1.0,0,1,1.0,1.0026146223618086,0
41,Muammar Gaddafi.,Muammar Gaddafi,0.6666666666666666,0.6666666666666666,1.0,0.8,1,0,0.9106284976005554,1.047726351895761,0
42,The Center for Science in the Public Interest (CSPINET),The Center for Science in the Public Interest,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578948,10,0,0.8004568815231323,1.0891711564430813,0
43,Pepsi,Pepsi,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.000641126433826,0
44,Pepsi,Pepsi,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.0005941055493195,0
45,Flawless,Flawless,1.0,1.0,1.0,1.0,0,1,1.0,1.076158549846863,0
46,endorse Pepsi,endorse Pepsi,1.0,1.0,1.0,1.0,0,1,1.0,1.0046494425724828,0
47,1968,1968,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.001935586063285,0
48,Global Gateways,Global Gateways,1.0,1.0,1.0,1.0,0,1,1.0,1.003774884118369,0
49,Glory,Glory,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.1614124884330133,0
50,Glory,Glory,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.122604215871842,0
51,B.I.C.,B.I.C,0.5,0.5,1.0,0.6666666666666666,1,0,0.9219895005226135,1.3773081397155447,0
52,1986,1986,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.00323740912423,0
53,Tyra Banks,Tyra Banks,1.0,1.0,1.0,1.0,0,1,1.0,1.0003652647443841,0
54,co-producing,co-producing,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.0128710515909107,0
55,co-producing credits,co-writing,0.0,0.0,0.0,0.0,13,0,0.679766058921814,1.1924308812811837,0
56,greatest entertainer alive,greatest entertainer alive,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.1255806715073695,0
57,stage presence and voice,stage presence and voice during live performances,0.5714285714285714,1.0,0.5714285714285714,0.7272727272727273,25,0,0.7825281620025635,1.2546155714582932,0
58,she's almost too good,"she ""takes her role as entertainer so seriously she's almost too good.""",0.3333333333333333,1.0,0.3333333333333333,0.5,50,0,0.5670614242553711,1.0592535886326602,0
59,Suga Mama,Suga Mama,1.0,1.0,1.0,1.0,0,1,1.0,1.0202176743989837,0
60,2006 BET Awards,2006 BET Awards,1.0,1.0,1.0,1.0,0,1,1.0,1.1141520930949873,0
61,Suga Mama,Suga Mama,1.0,1.0,1.0,1.0,0,1,1.0,1.0026319123927758,0
