qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,BERT,Perp_ans,IDK
0,"February 6, 2016","June 19, 2012",0.14285714285714285,0.25,0.25,0.25,10,0,0.8533874750137329,6.2435421358104755,0
1,Freddie Gray,john lennon,0.0,0.0,0.0,0.0,11,0,0.4699718952178955,2.1240807911899804,0
2,"January 7, 2012","June 25, 2012",0.3333333333333333,0.5,0.5,0.5,7,0,0.8666920065879822,7.0399802418343285,0
3,four nights,0,0.0,0.0,0.0,0.0,11,0,0.3486681580543518,5.574958789868878,0
4,Ike,Hurricane Sandy,0.0,0.0,0.0,0.0,14,0,0.4504442512989044,1.9718088096475852,0
5,Hurricane Katrina,hurricanes,0.0,0.0,0.0,0.0,9,0,0.6326315402984619,1.9210252196044428,0
6,Beyontourage,scouts,0.0,0.0,0.0,0.0,10,0,0.43318912386894226,3.1436070268758223,0
7,beehive,bey,0.0,0.0,0.0,0.0,5,0,0.34596607089042664,3.2618233231041995,0
8,Twitter,instagram,0.0,0.0,0.0,0.0,7,0,0.6430634260177612,1.9569128171258756,0
9,2010,2010,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,3.5911087753195456,0
10,the head of the G7 in Germany,Chancellor,0.0,0.0,0.0,0.0,25,0,0.3876119554042816,2.6035616544515006,0
11,the ONE Campaign,philanthropist philanthropist john steinbeck,0.0,0.0,0.0,0.0,38,0,0.3262600004673004,2.2917918377581064,0
12,2015,"June 27, 2012",0.0,0.0,0.0,0.0,10,0,0.4243983328342438,6.83844396027971,0
13,the ONE Campaign,adolf hitler,0.0,0.0,0.0,0.0,15,0,0.28327539563179016,2.3955606307123083,0
14,June 2013,in the late 1980s,0.0,0.0,0.0,0.0,14,0,0.4696938395500183,5.591855344093064,0
15,Starpower: Beyoncé,ninja gaiden,0.0,0.0,0.0,0.0,16,0,0.3808809816837311,2.236857545121507,0
16,House of Deréon,Beyonce,0.0,0.0,0.0,0.0,12,0,0.19114235043525696,2.334011364633213,0
17,2006,2011,0.0,0.0,0.0,0.0,2,0,0.8568800091743469,2.8555972208003557,0
18,1952–87,1837 to 1848,0.0,0.0,0.0,0.0,10,0,0.4672386050224304,3.6386702817573315,0
19,950,"4,000",0.0,0.0,0.0,0.0,4,0,0.5538862943649292,5.420428158671389,0
20,1917–2015,79 years,0.0,0.0,0.0,0.0,8,0,0.33485206961631775,3.6817566603906955,0
21,Our Lady of the Lake,Notre Dame de la Lac,0.0,0.0,0.0,0.0,14,0,0.5239630937576294,1.5171897398683767,0
22,Rudy Perez,edward eliot,0.0,0.0,0.0,0.0,11,0,0.5385550260543823,2.952827695929781,0
23,B'Day,"""Seora del Sol""",0.0,0.0,0.0,0.0,14,0,0.30205029249191284,3.2301054437610315,0
24,B'Day.,The Last of the Mob,0.0,0.0,0.0,0.0,18,0,0.31750696897506714,4.808606169830825,0
25,33,ten,0.0,0.0,0.0,0.0,3,0,0.6059104204177856,5.436880414434933,0
26,1849,1858,0.0,0.0,0.0,0.0,2,0,0.8762474656105042,3.8590074934389125,0
27,Kite Realty,edward elms,0.0,0.0,0.0,0.0,10,0,0.3874894082546234,3.7228907472491404,0
28,1842,1812,0.0,0.0,0.0,0.0,1,0,0.8644080758094788,6.326368504058776,0
29,modelling,music,0.0,0.0,0.0,0.0,7,0,0.605117917060852,3.612452210933926,0
30,number 1,number one,0.3333333333333333,0.5,0.5,0.5,3,0,0.8734977841377258,6.266448964797865,0
31,People,huffington post,0.0,0.0,0.0,0.0,13,0,0.3524671792984009,2.3160674646750796,0
32,2013,September 2012,0.0,0.0,0.0,0.0,11,0,0.6864178776741028,9.153452431534337,0
33,The Mrs. Carter Show World Tour,Beyonce World Tour,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.4444444444444444,18,0,0.5624192357063293,2.0490036228953055,0
34,Queen Tara,a narrator,0.0,0.0,0.0,0.0,10,0,0.48636534810066223,3.694047787905082,0
35,wide-ranging,sexy,0.0,0.0,0.0,0.0,11,0,0.43642786145210266,2.3645931988022215,0
36,Father Lemonnier,john d. rockefeller,0.0,0.0,0.0,0.0,16,0,0.2497338354587555,2.1427130017364004,0
