qid,docno,score,rank
0,0,11.212733762010767,0
0,11,7.123384916433858,1
0,35,6.746009246659398,2
0,17,5.177600456120842,3
0,94,4.771640495031094,4
0,68,4.564473484847765,5
0,71,4.557826731128222,6
0,76,4.521612859026964,7
0,89,3.5713069429524467,8
0,98,3.4933560234215526,9
1,1,9.024821137526331,0
1,95,4.169825559188213,1
1,7,3.7807093952202244,2
1,40,3.7196937624222883,3
1,20,2.6123111680515865,4
1,30,2.6123111680515865,5
1,36,2.6103387854582585,6
1,33,2.5966150648971413,7
1,49,2.59466630442482,8
1,50,2.586900425894782,9
2,2,11.377350595481763,0
2,24,8.955154931954043,1
2,36,6.156109116545855,2
2,71,3.3009813632598917,3
2,87,3.064437687860462,4
2,90,-0.592747772534687,5
2,79,-0.6008943622391906,6
2,75,-0.6083755923980803,7
2,22,-0.6295854867351587,8
2,27,-0.6314999286240399,9
3,2,15.404359016467946,0
3,60,7.598351741013675,1
3,78,5.89783159212559,2
3,3,4.984823123961547,3
3,13,4.864747090195997,4
3,51,4.810430585591211,5
3,69,4.7087853149597905,6
4,3,20.52409522307358,0
4,86,9.038424651035083,1
4,65,8.057623119911598,2
4,20,6.397588689041423,3
4,23,5.405929314226744,4
4,54,5.082444506034648,5
4,8,4.931568272883104,6
4,77,4.671344969109577,7
4,22,4.123673604545036,8
4,55,3.245355546123032,9
5,3,12.846790201030704,0
5,95,8.441866247287052,1
5,79,6.795924076693736,2
5,27,4.912823398123434,3
5,51,4.353608272374766,4
5,62,3.6997905258813852,5
5,13,2.602478949704119,6
5,43,2.5791808954461577,7
5,55,2.5753383812831028,8
5,65,2.548758053953346,9
6,4,8.940703097072992,0
6,0,5.553121615547639,1
6,62,5.289754135057278,2
7,4,22.444711902173516,0
7,22,4.511428127346797,1
7,10,4.497792713646479,2
7,88,4.3089527074916125,3
8,4,30.371531837977464,0
8,22,7.708621982384459,1
8,59,7.487312779389452,2
8,44,5.968126536844278,3
8,8,4.2283928558479555,4
8,17,4.209120977538048,5
8,54,4.133758731918998,6
8,56,4.130677159104679,7
8,31,4.130677159104679,8
8,61,4.112283775201681,9
9,5,13.126537805686212,0
9,46,11.20622244440737,1
9,36,8.018846466768471,2
9,82,5.37400557992601,3
9,92,5.300991520322692,4
9,14,5.019299048294948,5
9,72,4.925849128074314,6
9,97,4.6124771022716695,7
9,96,4.488651809174379,8
9,37,4.17331155601133,9
10,6,19.53382457302096,0
10,78,5.89783159212559,1
10,21,4.886818703611437,2
10,57,4.853785880863167,3
11,6,16.815586068579123,0
11,21,9.773637407222875,1
11,44,5.868763492087067,2
11,78,5.441501628798125,3
11,57,4.853785880863167,4
11,61,4.705043189095296,5
11,87,4.624546092898413,6
11,85,4.570395771704872,7
11,95,4.169825559188213,8
11,7,3.7807093952202244,9
12,6,11.305905415702483,0
12,21,9.076842677890617,1
12,57,4.853785880863167,2
12,22,4.1995507656312245,3
12,31,4.130677159104679,4
12,65,4.084998799301343,5
13,6,11.24160136533835,0
13,44,4.974037827297693,1
13,85,4.570395771704872,2
13,78,4.241140756827795,3
13,95,4.169825559188213,4
13,57,3.802410876647162,5
13,21,3.733375936614869,6
13,40,3.7196937624222883,7
13,61,3.660717493470207,8
13,9,3.3085350156181117,9
14,7,11.677970694908545,0
14,65,5.2624560919291135,1
15,59,6.9972806986267715,0
15,7,6.644277586404446,1
15,98,6.610861303627983,2
15,95,5.27961802110883,3
15,94,4.7137524625969025,4
15,86,4.340371790670275,5
15,89,4.079935964178876,6
15,62,3.849621851455682,7
15,88,3.760448595345392,8
15,91,3.670119898416614,9
16,97,14.362215042841548,0
16,8,9.159961128731059,1
16,56,5.955297986848674,2
16,59,4.7573136111879055,3
16,39,4.177388619690969,4
16,48,4.115337955262485,5
16,10,3.318534785625857,6
16,43,3.2764479303373326,7
16,51,3.2691314061359344,8
16,63,3.2691314061359344,9
17,8,6.221877282450957,0
17,97,4.6124771022716695,1
17,37,4.17331155601133,2
17,36,3.8351497099001164,3
17,32,3.2734859980968904,4
17,53,3.236663664229475,5
17,90,3.1456746232290396,6
17,94,3.102071923243605,7
17,22,2.289786226795101,8
17,20,2.282865539685318,9
18,55,12.058192896121234,0
18,25,11.217766319937212,1
18,47,9.330109122152379,2
18,82,9.19970359605621,3
18,9,8.93950867835608,4
18,96,8.863121547048829,5
18,93,8.778818249126147,6
18,88,8.406832065382574,7
18,67,7.949956098019419,8
18,66,6.911320052431433,9
19,93,12.049892956634165,0
19,51,11.981327699733159,1
19,9,11.53193395392246,2
19,25,11.217766319937212,3
19,84,10.955291001809137,4
19,62,9.659050085588168,5
19,47,9.330109122152379,6
19,82,9.19970359605621,7
19,55,8.8128373499982,8
19,88,8.406832065382574,9
20,25,8.684650688784654,0
20,9,8.658481154609024,1
20,96,7.995893511178325,2
20,72,4.37546627019301,3
20,82,4.016888066199823,4
20,88,4.011072576358948,5
21,10,26.9279771960893,0
21,17,11.102611147840136,1
21,52,6.930248443562055,2
21,40,6.367709850822707,3
21,85,6.267410062356545,4
21,47,5.7710577344959075,5
21,67,5.727544047084248,6
21,91,5.619687142296829,7
21,93,5.363240737324436,8
21,55,5.2633435986993415,9
22,11,19.948896238376246,0
22,19,8.115463784548146,1
22,53,5.737994196464237,2
22,80,5.457623470954991,3
22,87,5.412812107048067,4
22,95,4.9282037411990345,5
22,67,4.399273022642924,6
22,79,4.326081452502506,7
22,98,4.081060386082051,8
22,27,3.768346654070782,9
23,11,10.961229866708708,0
23,94,6.202418714917133,1
23,78,6.1482361972653194,2
23,83,5.852759431901049,3
23,87,5.387202816602889,4
23,19,5.381476291696316,5
23,49,4.85946332843218,6
23,38,4.826860286139212,7
23,73,3.3298242761651755,8
23,79,3.3230880700962526,9
24,11,12.598606206284586,0
24,90,6.707603561853941,1
24,87,6.006580113430321,2
24,79,5.823910954090984,3
24,98,5.401368373325477,4
24,19,5.381476291696316,5
24,37,4.3044579262648455,6
24,68,4.197744475285582,7
24,27,3.768346654070782,8
24,75,3.668384617149546,9
25,92,24.318312412237688,0
25,12,20.979071642804996,1
25,82,12.965604311797593,2
25,46,12.092420746550932,3
25,96,9.473303990218342,4
25,85,9.274045323437527,5
25,62,8.877070722200552,6
25,55,8.366868699309101,7
25,93,8.349675221700096,8
25,23,8.1305387687479,9
26,82,19.47099460220718,0
