qid,question,True Ans,M_question,M_RAG,IsSpan
16,Beyonce has a clothing line known as what?,House of Deréon,Beyonce,Beyonce's clothing line is known as Beyonce's,0
18,During what years was Theodor Hesburgh president of Notre Dame?,1952–87,1837 to 1848,1986,1
20,What was the lifespan of Theodore Hesburgh?,1917–2015,79 years,President Emeritus,1
26,In what year did the College of Arts and Letters at Notre Dame grant its first degree?,1849,1858,1870s,1
29,"in September 2010, what career area did Beyonce start exploring?",modelling,music,acting,1
34,What part did she voice for the movie Epic?,Queen Tara,a narrator,George Zipp,1
36,Which individual began a library at Notre Dame?,Father Lemonnier,john d. rockefeller,Theodore Hesburgh,1
37,Beyonce's mother worked in what industry?,hairdresser and salon owner,music,music,0
43,Which soda company has Beyonce partnered with since 2002?,Pepsi,PepsiCo,IDK,0
47,In what year did Notre Dame first have a facility in England?,1968,1858,IDK,0
55,What does she get credits for in her music?,co-producing credits,lyrics,songwriting,1
57,What characteristics has Beyonce received acclaim for?,stage presence and voice,her singing,pop singer,1
59,What band supports Beyonce in her tours?,Suga Mama,dr. dre,IDK,0
69,Which hall at Notre Dame contains the current College of Science?,Jordan Hall of Science,Notre Dame Hall,Notre Dame's current president,1
71,The lead single from the album was which song?,Déjà Vu,"""It's a Wonderful Life""",Crazy in Love,1
73,How many colleges for undergraduates are at Notre Dame?,five,four,four,1
75,What areas did Beyonce compete in when she was growing up?,singing and dancing,gymnastics,"basketball, cross country, fencing, golf, lacrosse, rowing, soccer, softball, swimming & diving, tennis, track & field and volleyball",1
76,Beyonce tied who for most number one singles by a female?,Mariah Carey,rachel streisand,Diane Warren,1
77,What is Beyonce's full name?,Beyoncé Giselle Knowles-Carter,beyonce kardashian,Beyoncé,1
79,What was Beyoncé's role in Destiny's Child?,lead singer,king,band members,1
81,What album made her a worldwide known artist?,Dangerously in Love,"""Stay""",The Writing's on the Wall,1
84,What sits on top of the Main Building at Notre Dame?,a golden statue of the Virgin Mary,Notre Dame Cathedral,LaFortune Center,1
87,What is the oldest structure at Notre Dame?,Old College,Notre Dame Cathedral,Notre Dame Memorial Coliseum,0
89,What is the name of Beyoncé's management company?,Parkwood Entertainment,ad iam,Beyond Productions,1
97,The world's best selling celebrity perfume line belongs to whom?,Beyoncé,nikki swanson,Beyoncé,1
101,What was Beyoncé's first concert?,Michael Jackson,april 2012,The Beyoncé Experience,1
102,Which athletic association are the student athletes at Notre Dame a part of?,NCAA Division I,NCAA,NCAA,0
107,Which newest member was removed from Destiny's Child?,Farrah Franklin,sarah jones,Solange,1
109,How long was Beyonce depressed?,a couple of years,a year,IDK,0
111,What event occured after she was publicly criticized?,boyfriend left her,she was arrested,a return to her African roots,1
113,Beyonce's grandma's name was?,Agnèz Deréon,jane eyre,IDK,0
