,M_Question,M_RAG,M_Context
Jaccard_mean,0.06289807414807415,0.6580261197136198,0.8746980519480521
Jaccard_std,0.18574308324246253,0.43718098693885943,0.2623129938874459
Recall_mean,0.08193506493506493,0.6847374292374293,0.916448051948052
Recall_std,0.2094478691849387,0.43550744164213545,0.2302179205408179
Precision_mean,0.0867142857142857,0.698952380952381,0.9142261904761905
Precision_std,0.21901143075812524,0.43920083319830594,0.2376813590286483
F1_mean,0.08255104617604615,0.6808919315978139,0.9016124986124986
F1_std,0.20975985545512416,0.4311497356510997,0.2295154657975401
EditDist_mean,13.36,6.965,2.365
EditDist_std,10.344583123548286,17.075531470498948,6.565194208856277
EM_mean,0.03,0.565,0.76
EM_std,0.1705872210923198,0.4957569969249047,0.4270831300812525
Chrf++_mean,0.10607956388965245,0.6137446521222591,0.8042140742111951
Chrf++_std,0.15625591023668456,0.3962852716471538,0.2521861463379825
BERT_mean,0.5199970460683108,0.8032772797346115,0.9255651526153088
BERT_std,0.18710062230722713,0.26369144526307886,0.1582261558754357
Perp_ans_mean,3.333038358184806,1.152709128851128,1.0657485863292606
Perp_ans_std,1.5939099276008775,0.2928010226826326,0.09950903061083359
