,M_Question,M_RAG,M_Context
Jaccard_mean,0.03750396825396825,0.6371216393255866,0.8806607997265892
Jaccard_std,0.11084996941224155,0.4407181391461973,0.24520496941710263
Recall_mean,0.053964285714285715,0.6696006493506493,0.9157673160173161
Recall_std,0.14519013210769954,0.43967124760593057,0.21528134730303042
Precision_mean,0.063875,0.6830734388053465,0.9312147233893557
Precision_std,0.1738319700729542,0.44871971509789027,0.2151562252126832
F1_mean,0.05659418196182901,0.6619344690397321,0.9099759553312186
F1_std,0.15040928424551137,0.4358782714120942,0.20825138861473352
EditDist_mean,12.28,7.515,3.385
EditDist_std,8.076608198990465,17.38504457860261,13.586639577172862
EM_mean,0.005,0.545,0.765
EM_std,0.07053367989832945,0.49797088268291345,0.4239988207530771
BERT_mean,0.5126473512500525,0.8088042999058962,0.9329637188464404
BERT_std,0.18228870314719597,0.2504946984710385,0.14537790213885454
Perp_ans_mean,3.6501027032684874,1.1106601254290422,1.0668008975031307
Perp_ans_std,1.7010899733515796,0.2031408931882921,0.10802617789339236
IDK_mean,0.005,0.035,0.0
IDK_std,0.07053367989832944,0.1837797594948911,0.0
