qid,docno,label
0,0,1
1,1,1
2,2,1
3,2,1
4,3,1
5,3,1
6,4,1
7,4,1
8,4,1
9,5,1
10,6,1
11,6,1
12,6,1
13,6,1
14,7,1
15,7,1
16,8,1
17,8,1
18,9,1
19,9,1
20,9,1
21,10,1
22,11,1
23,11,1
24,11,1
25,12,1
26,12,1
27,13,1
28,14,1
29,15,1
30,15,1
31,15,1
32,15,1
33,16,1
34,16,1
35,17,1
36,18,1
37,19,1
38,19,1
39,19,1
40,19,1
41,20,1
42,21,1
43,21,1
44,21,1
45,22,1
46,21,1
47,23,1
48,23,1
49,24,1
50,24,1
51,24,1
52,25,1
53,26,1
54,27,1
55,27,1
56,28,1
57,28,1
58,28,1
59,29,1
60,29,1
61,29,1
62,29,1
63,30,1
64,31,1
65,31,1
66,32,1
67,33,1
68,33,1
69,34,1
70,35,1
71,35,1
72,36,1
73,36,1
74,37,1
75,38,1
76,37,1
77,38,1
78,38,1
79,38,1
80,38,1
81,38,1
82,38,1
83,37,1
84,39,1
85,40,1
86,41,1
87,42,1
88,43,1
89,44,1
90,45,1
91,44,1
92,44,1
93,46,1
94,47,1
95,48,1
96,48,1
97,48,1
98,48,1
99,49,1
100,49,1
101,50,1
102,51,1
103,52,1
104,52,1
105,53,1
106,54,1
107,54,1
108,55,1
109,54,1
110,55,1
111,54,1
112,54,1
113,56,1
114,56,1
115,56,1
116,57,1
117,57,1
118,57,1
119,57,1
120,58,1
121,58,1
122,58,1
123,58,1
124,58,1
125,59,1
126,59,1
127,59,1
128,59,1
129,60,1
130,61,1
131,61,1
132,62,1
133,63,1
134,63,1
135,64,1
136,65,1
137,65,1
138,65,1
139,66,1
140,67,1
141,67,1
142,68,1
143,68,1
144,68,1
145,69,1
146,70,1
147,71,1
148,71,1
149,71,1
150,72,1
151,73,1
152,73,1
153,73,1
154,74,1
155,74,1
156,75,1
157,75,1
158,75,1
159,76,1
160,76,1
161,77,1
162,77,1
163,78,1
164,78,1
165,78,1
166,78,1
167,78,1
168,79,1
169,79,1
170,80,1
171,81,1
172,82,1
173,83,1
174,83,1
175,84,1
176,85,1
177,86,1
178,87,1
179,88,1
180,88,1
181,87,1
182,89,1
183,89,1
184,90,1
185,90,1
186,90,1
187,91,1
188,92,1
189,93,1
190,94,1
191,94,1
192,95,1
193,95,1
194,96,1
195,96,1
196,97,1
197,97,1
198,98,1
199,98,1
