qid,docno,label
0,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,2,1
11,2,1
12,2,1
13,2,1
14,2,1
15,3,1
16,3,1
17,3,1
18,3,1
19,3,1
20,4,1
21,4,1
22,4,1
23,4,1
24,4,1
25,5,1
26,5,1
27,5,1
28,5,1
29,5,1
30,6,1
31,6,1
32,6,1
33,6,1
34,6,1
35,7,1
36,7,1
37,7,1
38,7,1
39,7,1
40,8,1
41,8,1
42,8,1
43,8,1
44,8,1
45,9,1
46,9,1
47,9,1
48,9,1
49,9,1
50,10,1
51,10,1
52,10,1
53,10,1
54,10,1
55,11,1
56,11,1
57,11,1
58,11,1
59,11,1
60,12,1
61,12,1
62,12,1
63,12,1
64,12,1
65,13,1
66,13,1
67,13,1
68,13,1
69,13,1
70,14,1
71,14,1
72,14,1
73,14,1
74,14,1
75,15,1
76,15,1
77,15,1
78,15,1
79,15,1
80,16,1
81,16,1
82,16,1
83,16,1
84,16,1
85,17,1
86,17,1
87,17,1
88,17,1
89,17,1
90,18,1
91,18,1
92,18,1
93,18,1
94,18,1
95,19,1
96,19,1
97,19,1
98,19,1
99,19,1
100,20,1
101,20,1
102,20,1
103,20,1
104,20,1
105,21,1
106,21,1
107,21,1
108,21,1
109,21,1
110,22,1
111,22,1
112,22,1
113,22,1
114,22,1
115,23,1
116,23,1
117,23,1
118,23,1
119,23,1
120,24,1
121,24,1
122,24,1
123,24,1
124,24,1
125,25,1
126,25,1
127,25,1
128,25,1
129,25,1
130,26,1
131,26,1
132,26,1
133,26,1
134,27,1
135,27,1
136,27,1
137,27,1
138,27,1
139,26,1
140,28,1
141,28,1
142,28,1
143,28,1
144,28,1
145,29,1
146,29,1
147,29,1
148,29,1
149,29,1
150,30,1
151,30,1
152,30,1
153,30,1
154,30,1
155,31,1
156,31,1
157,31,1
158,31,1
159,31,1
160,32,1
161,32,1
162,32,1
163,32,1
164,32,1
165,33,1
166,33,1
167,33,1
168,33,1
169,33,1
170,34,1
171,34,1
172,34,1
173,34,1
174,34,1
175,35,1
176,35,1
177,35,1
178,35,1
179,35,1
180,36,1
181,37,1
182,36,1
183,36,1
184,37,1
185,36,1
186,37,1
187,37,1
188,37,1
189,36,1
190,38,1
191,38,1
192,38,1
193,38,1
194,38,1
195,39,1
196,39,1
197,39,1
198,39,1
199,39,1
200,40,1
201,40,1
202,40,1
203,40,1
204,40,1
205,41,1
206,41,1
207,42,1
208,41,1
209,42,1
210,42,1
211,42,1
212,42,1
213,41,1
214,41,1
215,43,1
216,43,1
217,44,1
218,43,1
219,43,1
220,44,1
221,44,1
222,44,1
223,44,1
224,43,1
225,45,1
226,46,1
227,46,1
228,46,1
229,45,1
230,45,1
231,45,1
232,45,1
233,46,1
234,46,1
235,47,1
236,47,1
237,47,1
238,47,1
239,47,1
240,48,1
241,48,1
242,48,1
243,49,1
244,49,1
245,49,1
246,49,1
247,48,1
248,48,1
249,49,1
250,50,1
251,50,1
252,51,1
253,50,1
254,50,1
255,51,1
256,51,1
257,51,1
258,51,1
259,50,1
260,52,1
261,52,1
262,52,1
263,52,1
264,52,1
265,53,1
266,53,1
267,53,1
268,53,1
269,53,1
270,54,1
271,54,1
272,54,1
273,54,1
274,54,1
275,55,1
276,55,1
277,55,1
278,55,1
279,55,1
280,56,1
281,56,1
282,57,1
283,57,1
284,56,1
285,57,1
286,57,1
287,57,1
288,56,1
289,56,1
290,58,1
291,59,1
292,59,1
293,59,1
294,59,1
295,58,1
296,58,1
297,58,1
298,58,1
299,59,1
300,60,1
301,60,1
302,60,1
303,61,1
304,61,1
305,62,1
306,61,1
307,61,1
308,62,1
309,61,1
310,60,1
311,63,1
312,63,1
313,62,1
314,63,1
315,63,1
316,62,1
317,63,1
318,62,1
319,60,1
320,64,1
321,64,1
322,64,1
323,64,1
324,64,1
325,65,1
326,65,1
327,65,1
328,65,1
329,65,1
330,66,1
331,66,1
332,66,1
333,66,1
334,66,1
335,67,1
336,67,1
337,68,1
338,68,1
339,68,1
340,67,1
341,68,1
342,68,1
343,67,1
344,67,1
345,69,1
346,69,1
347,69,1
348,69,1
349,69,1
350,70,1
351,70,1
352,71,1
353,72,1
354,72,1
355,72,1
356,72,1
357,72,1
358,70,1
359,70,1
360,70,1
361,71,1
362,71,1
363,71,1
364,71,1
365,73,1
366,73,1
367,73,1
368,73,1
369,73,1
370,74,1
371,75,1
372,75,1
373,74,1
374,74,1
375,74,1
376,74,1
377,75,1
378,75,1
379,75,1
380,76,1
381,76,1
382,76,1
383,76,1
384,76,1
385,77,1
386,77,1
387,77,1
388,77,1
389,77,1
390,78,1
391,78,1
392,79,1
393,78,1
394,78,1
395,80,1
396,79,1
397,79,1
398,79,1
399,79,1
400,78,1
401,80,1
402,80,1
403,80,1
404,80,1
405,81,1
406,81,1
407,81,1
408,81,1
409,81,1
410,82,1
411,82,1
412,82,1
413,82,1
414,82,1
415,83,1
416,83,1
417,83,1
