qid,answer,answer_start,answer_start_relative
0,Cover Boy,-1,-1
1,Die Pratermizzi,-1,-1
2,yes,-1,-1
3,yes,-1,-1
4,La Procesión,-1,-1
5,Akarshan,-1,-1
6,French,-1,-1
7,Secret Venture,-1,-1
8,Jim Sterling,-1,-1
9,yes,-1,-1
10,yes,-1,-1
11,To Play Or To Die,-1,-1
12,Il Seduttore,-1,-1
13,yes,-1,-1
14,no,-1,-1
15,Brooklyn,-1,-1
16,A Thunder Of Drums,-1,-1
17,yes,-1,-1
18,Argentine,-1,-1
19,Béziers,-1,-1
20,Brazil,-1,-1
21,Xavier Florencio,-1,-1
22,yes,-1,-1
23,Cinderella Of The Hills,-1,-1
24,yes,-1,-1
25,yes,-1,-1
26,William Henry Thompson,-1,-1
27,The King Of The Kickboxers,-1,-1
28,no,-1,-1
29,Ismael Íñiguez,-1,-1
30,yes,-1,-1
31,French,-1,-1
32,Girl On The Bridge,-1,-1
33,Khubsoorat,-1,-1
34,yes,-1,-1
35,Les Résultats Du Féminisme,-1,-1
36,German,-1,-1
37,Honeymoons,-1,-1
38,John Hopkins The Third,-1,-1
39,yes,-1,-1
40,Departure Of A Grand Old Man,-1,-1
41,Rona Randall,-1,-1
42,Without The King,-1,-1
43,yes,-1,-1
44,The Shanghai Story,-1,-1
45,Le Droit À La Vie,-1,-1
46,Zdeněk Svěrák,-1,-1
47,Every Blessed Day,-1,-1
48,yes,-1,-1
49,Aaj Ki Baat,-1,-1
50,American,-1,-1
51,yes,-1,-1
52,Night Of The Seagulls,-1,-1
53,For The Service,-1,-1
54,Far Away And Long Ago,-1,-1
55,Jones Morgan,-1,-1
56,New York,-1,-1
57,French,-1,-1
58,Osterode am Harz,-1,-1
59,yes,-1,-1
60,Maja Odžaklievska,-1,-1
61,Lord Of War,-1,-1
62,yes,-1,-1
63,Xi'an,-1,-1
64,Dutch,-1,-1
65,Cairo,-1,-1
66,John-Roger Hinkins,-1,-1
67,Saturn In Opposition,-1,-1
68,God'S Will Be Done,-1,-1
69,Closed Doors Village,-1,-1
70,yes,-1,-1
71,Born To Gamble,-1,-1
72,Tony Owen,-1,-1
73,University of British Columbia,-1,-1
74,György Enyedi,-1,-1
75,yes,-1,-1
76,Night And Dawn,-1,-1
77,Francis William Thring,-1,-1
78,yes,-1,-1
79,yes,-1,-1
80,yes,-1,-1
81,Thikkodi,-1,-1
82,Koch Bihar,-1,-1
83,Bad Man'S River,-1,-1
84,Fængslende Feriedage,-1,-1
85,Austrian,-1,-1
86,Latvian,-1,-1
87,Tag Til Marked I Fjordby,-1,-1
88,Vicente Borge,-1,-1
89,Matteo Furlan,-1,-1
90,Phony Express,-1,-1
91,"Dayton, Ohio",-1,-1
92,Austrian,-1,-1
93,Return To Cabin By The Lake,-1,-1
94,Chanakya Shapatham,-1,-1
95,Crimean,-1,-1
96,London,-1,-1
97,yes,-1,-1
98,Yuen Siu-tien,-1,-1
99,Las Tecnologías Pesqueras,-1,-1
100,Barravento,-1,-1
101,Düsseldorf,-1,-1
102,Luzy,-1,-1
103,The Pocket-Knife,-1,-1
104,no,-1,-1
105,L'Eroe Sono Io,-1,-1
106,yes,-1,-1
107,Dutch,-1,-1
108,Miguel Augusto Prince,-1,-1
109,Scrap Heaven,-1,-1
110,György Enyedi,-1,-1
111,Luca Calapai,-1,-1
112,Kottayam,-1,-1
113,11 November 1964,-1,-1
114,Kalabha Mazha,-1,-1
115,Elizabeth Rees-Williams,-1,-1
116,Key House Mirror,-1,-1
117,When Love Sets The Fashion,-1,-1
118,Alyaksey Vasilewski,-1,-1
119,Pals Of The Saddle,-1,-1
120,Austrian,-1,-1
121,João Da Mata,-1,-1
122,Big Happiness,-1,-1
123,yes,-1,-1
124,New Zealand,-1,-1
125,yes,-1,-1
126,Formula Of Love,-1,-1
127,no,-1,-1
128,Gniazdo,-1,-1
129,no,-1,-1
130,yes,-1,-1
131,Paulo Centurión,-1,-1
132,Ogun State,-1,-1
133,Turn On To Love,-1,-1
134,"The Avenger, Zorro",-1,-1
135,Hot Tamale,-1,-1
136,yes,-1,-1
137,Man Ki Jeet,-1,-1
