qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,Chrf++,BERT,Perp_ans
0,Learning Resource Center,Learning Resource Center,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0074740636191204
1,musical comedy,musical comedy,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0396343152266176
2,Michael Jackson,Michael Jackson,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0039323433195009
3,Beck,Drake,0.0,0.0,0.0,0.0,4,0,0.0595238134264946,0.6597530841827393,2.3697038922350773
4,Angela Merkel and Nkosazana Dlamini-Zuma,Angela Merkel and Nkosazana Dlamini-Zuma,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0052170719590758
5,Célestine Guynemer de la Hailandière,Bishop of Vincennes,0.0,0.0,0.0,0.0,31,0,0.04787562042474747,0.4073152244091034,1.1858401150306184
6,Father Julius Nieuwland,John I. Jenkins,0.0,0.0,0.0,0.0,18,0,0.03865979611873627,0.34602248668670654,1.3387289830840825
7,among the top twenty,18th,0.0,0.0,0.0,0.0,18,0,0.026689469814300537,0.39429956674575806,1.1412795854616031
8,three,three,1.0,1.0,1.0,1.0,0,1,0.75,1.0,1.110376371731327
9,1950,1950,1.0,1.0,1.0,1.0,0,1,0.625,1.0,1.005333521790721
10,third woman,third,0.5,0.5,1.0,0.6666666666666666,6,0,0.3216269910335541,0.6557126641273499,1.0774962955256762
11,Fighting Temptations,Fighting Temptation,0.3333333333333333,0.5,0.5,0.5,1,0,0.7752782106399536,0.6716211438179016,1.014342123607216
12,Starpower: Beyoncé,Starpower: Beyoncé,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.006551505441665
13,Her mother,IDK,0.0,0.0,0.0,0.0,10,0,0.0,0.479861855506897,1.7619139929408334
14,January 2013,January 2013,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.272407306690824
15,January 2013,January 2013,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.0117382890585096
16,L'Oréal,L'Oréal,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.0052572167564746
17,President Obama,Barack Obama,0.3333333333333333,0.5,0.5,0.5,9,0,0.2290237993001938,0.7841206789016724,1.3160328643142225
18,Bond Hall,Bond Hall,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0038040713876342
19,118 million,11 million copies,0.25,0.5,0.3333333333333333,0.4,8,0,0.47377341985702515,0.6645538210868835,1.3674329161974645
20,boldness,"Beyoncé donated her entire salary from the film to Phoenix House, an organization of rehabilitation centers for heroin addicts around the country",0.0,0.0,0.0,0.0,139,0,0.03619035333395004,0.24108462035655975,1.0518786193005014
