qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,Chrf++,BERT,Perp_ans
0,Learning Resource Center,Learning Resource Center,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0074740636191204
1,musical comedy,musical comedy,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0396343152266176
2,Michael Jackson,Michael Jackson,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0039323433195009
3,Beck,Beck,1.0,1.0,1.0,1.0,0,1,0.625,1.0,1.0052512097567858
4,Angela Merkel and Nkosazana Dlamini-Zuma,Angela Merkel and Nkosazana Dlamini-Zuma,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0052170719590758
5,Célestine Guynemer de la Hailandière,Bishop of Vincennes,0.0,0.0,0.0,0.0,31,0,0.04787562042474747,0.4073152244091034,1.1858401150306184
6,Father Julius Nieuwland,Father Julius Nieuwland,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.0025384941938695
7,among the top twenty,among the top twenty,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.055079868322816
8,three,three,1.0,1.0,1.0,1.0,0,1,0.75,1.0,1.110376371731327
9,1950,1950,1.0,1.0,1.0,1.0,0,1,0.625,1.0,1.005333521790721
10,third woman,third,0.5,0.5,1.0,0.6666666666666666,6,0,0.3216269910335541,0.6557126641273499,1.0774962955256762
11,Fighting Temptations,Fighting Temptation,0.3333333333333333,0.5,0.5,0.5,1,0,0.7752782106399536,0.6716211438179016,1.014342123607216
12,Starpower: Beyoncé,Starpower: Beyoncé,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.006551505441665
13,Her mother,Her mother,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0577165287703485
14,January 2013,January 2013,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.019037524583399
15,January 2013,January 2013,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.0117382890585096
16,L'Oréal,L'Oréal,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.0052572167564746
17,President Obama,President Obama's,0.6666666666666666,1.0,0.6666666666666666,0.8,2,0,0.786751389503479,0.7466846108436584,1.1874436102523545
18,Bond Hall,Bond Hall,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0038040713876342
19,118 million,118 million records,0.6666666666666666,1.0,0.6666666666666666,0.8,8,0,0.8451825380325317,0.7015249729156494,1.4746544195013072
20,boldness,boldness,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.5572911289920994
21,20,20,1.0,1.0,1.0,1.0,0,1,0.375,1.0,1.175637988038657
