qid,docno,score,rank
0,0,15.705694985839639,0
0,11,7.957381417113593,1
0,35,6.69282143662985,2
0,17,6.065188274708062,3
0,68,4.202928118941596,4
0,71,4.165742190199459,5
0,76,3.972435784727467,6
0,7,3.875795895277566,7
0,94,3.6481714493994066,8
0,49,3.394068778531812,9
1,1,10.555284937219165,0
1,7,4.088638816766283,1
1,40,3.6573403133480644,2
1,95,3.2119897620391162,3
1,20,2.9540845532358353,4
1,30,2.9540845532358353,5
1,36,2.9373994651100346,6
1,33,2.8256805560197886,7
1,49,2.8104106831104816,8
1,50,2.750946628952068,9
2,2,13.358370980667138,0
2,24,9.96253816838001,1
2,36,6.92743475553356,2
2,71,3.048521091791077,3
2,87,2.5723456808437897,4
2,90,-0.4918746933904325,5
2,79,-0.5316349304369095,6
2,75,-0.5730833110966096,7
2,22,-0.7263057864945694,8
2,27,-0.7435936997199764,9
3,2,19.4652328791627,0
3,60,7.055205946917356,1
3,3,6.522292753077412,2
3,13,5.369494743123328,3
3,78,5.218044110988328,4
3,51,4.9586675319838545,5
3,69,4.319690625262143,6
4,3,25.266271059910203,0
4,86,8.173598071008119,1
4,65,7.864785419652577,2
4,20,6.8315675564154645,3
4,23,6.205078041920322,4
4,8,5.962265496168971,5
4,54,5.3085981728056995,6
4,22,4.314328781974218,7
4,77,4.118391234722992,8
4,2,3.6784642564997156,9
5,3,15.418787297505085,0
5,95,6.210788756675897,1
5,79,5.938658351212609,2
5,27,5.78486926299615,3
5,51,4.097786549527529,4
5,62,3.5331079199147033,5
5,13,2.8725022658808737,6
5,43,2.6939467755415367,7
5,55,2.6663235476386484,8
5,65,2.487760333617375,9
6,4,9.835784548201255,0
6,0,7.778266760293074,1
6,62,5.3144677327139895,2
7,4,25.373155683181977,0
7,22,5.204497916936107,1
7,10,5.086247052624235,2
7,88,3.8258193359226498,3
8,4,33.94215185411454,0
8,22,8.892861842700434,1
8,59,7.249542125760353,2
8,44,5.903283607299696,3
8,8,5.112126494789628,4
8,17,4.930683898100241,5
8,54,4.317698702864145,6
8,56,4.295448187853837,7
8,31,4.295448187853837,8
8,61,4.1666165524985574,9
9,5,16.042543396619926,0
9,46,12.004390764749138,1
9,36,8.47698182361836,2
9,14,5.151590541794048,3
9,82,4.80561214021049,4
9,72,4.561189151731141,5
9,92,4.441912259031048,6
9,43,4.317698702864145,7
9,18,4.095765066297853,8
9,37,3.892024848631683,9
10,6,22.904277885001417,0
10,21,5.553539770639933,1
10,57,5.281972122880575,2
10,78,5.218044110988328,3
11,6,18.9237341796787,0
11,21,11.107079541279866,1
11,44,6.212733174337832,2
11,57,5.281972122880575,3
11,78,4.721924358652925,4
11,61,4.518963752458503,5
11,7,4.088638816766283,6
11,87,3.887806873106724,7
11,85,3.80351602804745,8
11,9,3.6693341166081725,9
12,6,12.848560825474632,0
12,21,10.315219340192556,1
12,57,5.281972122880575,2
12,22,4.844708281909201,3
12,31,4.295448187853837,4
12,65,3.987235257584989,5
13,6,12.11151203721094,0
13,44,5.327728589167917,1
13,21,4.447906362781901,2
13,57,4.265319105545468,3
13,85,3.80351602804745,4
13,78,3.688222951292856,5
13,9,3.6693341166081725,6
13,40,3.6573403133480644,7
13,41,3.6091973262705603,8
13,61,3.5445897208269743,9
14,7,14.194950536546088,0
14,65,5.136513253032372,1
15,7,8.28512922904022,0
15,59,6.86898754046161,1
15,98,5.309391896040679,2
15,86,3.9965771969595325,3
15,95,3.972839116910789,4
15,62,3.867607187472879,5
15,16,3.848512193989121,6
15,49,3.7571676144969035,7
15,94,3.733707184049699,8
15,89,3.4178518130446065,9
16,8,11.074391990958599,0
16,97,10.71105785606666,1
16,56,5.820834090584241,2
16,39,4.655302669563995,3
16,59,4.606238105171314,4
16,48,4.187549129609044,5
16,10,3.7527046813894525,6
16,43,3.422240120011102,7
16,51,3.3698720879479596,8
16,63,3.3698720879479596,9
17,8,7.5222489459458455,0
17,37,3.892024848631683,1
17,36,3.769091535863907,2
17,97,3.63531098561726,3
17,32,3.34919865630558,4
17,53,3.1086570706622854,5
17,22,2.64155547006191,6
17,90,2.6240442676443636,7
17,20,2.5815369586804193,8
17,46,2.524185205072873,9
18,25,12.241300154298322,0
18,55,11.58690275167887,1
18,9,9.914371171640331,2
18,47,8.902463576461592,3
18,82,8.116243175657472,4
18,88,7.412341679202588,5
18,67,7.2832498531867715,6
18,93,7.146663164501213,7
18,66,6.676812139084539,8
18,96,6.607430966968341,9
19,9,12.789503054328264,0
19,25,12.241300154298322,1
19,51,11.413861727925514,2
19,93,9.744999016711356,3
19,62,9.306900712744618,4
19,84,9.10987357737042,5
19,32,8.939533330923837,6
19,47,8.902463576461592,7
19,18,8.639919988938349,8
19,55,8.42416233922277,9
20,25,9.820879213682202,0
20,9,9.602697311238906,1
20,96,5.960915024564068,2
20,72,4.202925361906565,3
20,82,3.592033124956726,4
20,88,3.5613384648531823,5
21,10,27.944324673055867,0
21,17,13.005914134010837,1
21,52,6.876011242137753,2
21,5,6.036308195316488,3
21,11,5.819498958532526,4
21,40,5.767778324324133,5
21,47,5.382080825763577,6
21,85,5.260828966101875,7
21,67,5.139985005097415,8
21,55,4.9650259914644295,9
22,11,21.663691476089916,0
22,19,8.79436602133439,1
22,53,5.559411047324689,2
22,80,4.77534864621664,3
22,87,4.555809926536477,4
22,67,4.242600836604908,5
22,27,3.994428762482743,6
22,79,3.827454801697878,7
22,95,3.5668065988762416,8
22,75,3.3509860575247,9
23,11,12.038935415991252,0
23,19,5.997143964255476,1
23,78,5.37428994427039,2
23,49,5.263523725235601,3
23,83,5.059851792046724,4
23,38,5.019401776151954,5
23,94,4.894053516066972,6
23,87,4.532500555919986,7
23,7,3.875795895277566,8
23,17,3.7153068663852573,9
24,11,12.963503378094199,0
24,19,5.997143964255476,1
24,90,5.608264355747144,2
24,79,5.07428334592528,3
24,87,5.058520655173151,4
24,37,4.556743271747829,5
24,27,3.994428762482743,6
24,98,3.960489149708869,7
24,68,3.8652471856560555,8
24,75,3.3509860575247,9
25,12,22.224749627765505,0
25,92,20.453622527409912,1
25,46,12.772992674466916,2
25,82,11.483835175560703,3
25,23,9.33246157143952,4
25,62,8.246534898651735,5
25,55,7.98954645378984,6
25,85,7.762972320253523,7
