qid,docno,score,rank
0,0,57.377527891875836,0
0,801,26.171573769874374,1
0,1003,24.706361599347947,2
0,1207,16.636414090255602,3
0,1821,15.203673438900541,4
0,976,15.1532077918326,5
0,97,14.101037480032808,6
0,207,13.717182469759015,7
0,764,13.582585057211983,8
0,1559,13.23878561225324,9
1,0,40.84310191712353,0
1,199,13.014733826767738,1
1,1022,11.563417221689948,2
1,1780,11.222274448257137,3
1,1003,10.745152256601752,4
1,1124,10.694901510250455,5
1,1821,10.057090779358184,6
1,675,9.935906433947796,7
1,1133,9.935906433947796,8
1,801,9.835033378083608,9
2,0,63.44607626852858,0
2,1876,22.85051599947609,1
2,2045,17.33097022383318,2
2,1112,15.55946058351212,3
2,341,12.291379883791093,4
2,584,11.986510568966507,5
2,1410,10.830266855773253,6
2,1354,10.56214624123233,7
2,1336,10.46339325842191,8
2,2046,10.152282807176642,9
3,0,36.68236145697571,0
3,1876,22.85051599947609,1
3,2045,17.33097022383318,2
3,1112,15.55946058351212,3
3,341,12.291379883791093,4
3,1354,10.56214624123233,5
3,1186,9.874805147224647,6
3,2053,9.428207101897168,7
3,2028,8.673439419712174,8
3,898,8.453414137150409,9
4,0,36.68236145697571,0
4,1876,22.85051599947609,1
4,2045,17.33097022383318,2
4,1112,15.55946058351212,3
4,341,12.291379883791093,4
4,1894,12.19665920337911,5
4,1804,11.927785356019065,6
4,565,11.761854321895324,7
4,1233,11.11236985079239,8
4,147,10.565835269771306,9
5,1,20.20931807373025,0
5,1943,10.941854801102266,1
5,419,9.522931143102484,2
5,1394,9.338272422483655,3
5,867,9.323515714208686,4
5,412,9.233642265188177,5
5,405,9.026156313792773,6
5,947,8.993884121658583,7
5,1883,8.42291631036459,8
5,1933,8.395298419088238,9
6,1,53.73217688442529,0
6,1103,13.776458662085119,1
6,1556,9.377517146356771,2
6,585,9.326318580793192,3
6,1690,8.967335113657803,4
6,1815,8.913335863329632,5
6,961,8.412884523680074,6
6,1688,8.047795313594369,7
6,859,7.970275968761273,8
6,1154,7.9558368997272115,9
7,895,16.63654120650568,0
7,2015,14.675497558298282,1
7,726,12.146230320484015,2
7,2014,12.078931558543518,3
7,333,11.333995528393892,4
7,1897,11.29089627654684,5
7,423,10.622178704950967,6
7,1259,10.41073214449413,7
7,1196,10.096875294300128,8
7,382,9.551274357289675,9
8,1,20.604884134910442,0
8,382,17.232029260276825,1
8,405,16.031449143678188,2
8,1196,12.073655192798988,3
8,924,11.778703211260588,4
8,1394,9.338272422483655,5
8,867,9.323515714208686,6
8,412,9.233642265188177,7
8,1664,8.553766187976883,8
8,1917,8.553766187976883,9
9,1,20.20931807373025,0
9,1943,10.941854801102266,1
9,1394,9.338272422483655,2
9,867,9.323515714208686,3
9,412,9.233642265188177,4
9,405,9.026156313792773,5
9,947,8.993884121658583,6
9,1883,8.42291631036459,7
9,1933,8.395298419088238,8
9,140,8.363919076437918,9
10,2,22.52816617131341,0
10,1847,8.044247495620233,1
10,1278,7.7520784031298025,2
10,10,7.188361433413277,3
10,1472,7.1283423779907,4
10,668,6.579027977913861,5
10,1172,6.461350156737983,6
10,1856,6.430369521761762,7
10,551,6.33494078267059,8
10,157,6.152335531072181,9
11,2,14.889599527034738,0
11,164,12.597701423196593,1
11,1819,10.028017437790142,2
11,22,8.78795068144667,3
11,1568,8.011544698498714,4
11,1381,7.9877477684878935,5
11,1096,7.932187779437791,6
11,792,7.665591855348941,7
11,1631,7.641119993591224,8
11,1210,7.368414434463724,9
12,2,14.889599527034738,0
12,1896,9.839270983298636,1
12,377,9.67103314998121,2
12,1475,9.126588068179261,3
12,698,8.52159056772423,4
12,795,8.459283658253293,5
12,128,8.277712387403275,6
12,310,7.991816569744801,7
12,2039,7.28710629231008,8
12,298,7.021747477035845,9
13,1417,15.701796072861553,0
13,2,14.889599527034738,1
13,1925,11.412443444226868,2
13,248,11.043045160426681,3
