qid,docno,score,rank
0,0,46.61594506143207,0
0,733,17.093105307374213,1
0,936,16.202648147268302,2
0,565,15.39905683095643,3
0,1645,15.178925522531092,4
0,406,14.102283192466974,5
0,1667,13.62922911124342,6
0,734,13.407101512161006,7
0,320,12.823815848999448,8
0,659,12.424917453703006,9
1,1,48.720535335686456,0
1,991,14.196789125203146,1
1,761,14.183034766512261,2
1,320,12.823815848999448,3
1,659,12.424917453703006,4
1,934,12.206614704470727,5
1,314,11.857583218205697,6
1,2152,11.622246150875704,7
1,1714,11.453303884025129,8
1,733,11.441681764175126,9
2,2,54.28798518647041,0
2,205,21.37200483659502,1
2,136,20.493993835418166,2
2,602,20.247611013918934,3
2,220,19.032338411013242,4
2,311,17.635609349307195,5
2,521,16.67498206989829,6
2,22,16.382822806976613,7
2,123,15.984769612192437,8
2,1310,15.93207303747323,9
3,3,98.18622162331681,0
3,121,24.10548613523341,1
3,205,21.37200483659502,2
3,1412,21.020997234045527,3
3,2,20.896521768995886,4
3,136,20.493993835418166,5
3,602,20.247611013918934,6
3,1240,19.82124279460114,7
3,220,19.032338411013242,8
3,311,17.635609349307195,9
4,4,42.087507771526205,0
4,865,13.348683420056066,1
4,936,13.015650548460162,2
4,1645,12.334026397813,3
4,889,12.07659940814397,4
4,1714,10.779400956784643,5
4,1362,10.65096860168498,6
4,908,10.648643111041363,7
4,139,10.575366929482051,8
4,1708,10.306019404938114,9
5,5,30.88764797836499,0
5,934,20.48444004706885,1
5,1103,13.38299989749019,2
5,1714,13.139118652533924,3
5,320,12.823815848999448,4
5,306,12.777703539226911,5
5,659,12.424917453703006,6
5,1315,11.988583701914251,7
5,1086,11.473104684205744,8
5,733,11.441681764175126,9
6,263,14.309595410994744,0
6,2470,13.33202724683514,1
6,6,11.821448652296855,2
6,2371,11.323174027563928,3
6,61,11.156248532443351,4
6,2498,10.215839910018541,5
6,1818,10.164259287689175,6
6,1398,9.355136345138988,7
6,2389,9.247801124553574,8
6,2442,9.013530567577519,9
7,7,33.24236253705428,0
7,1749,15.105220294995402,1
7,406,15.065677337590316,2
7,1722,14.931948064452671,3
7,2265,14.648895212642245,4
7,2389,14.347452660638965,5
7,2249,13.968316432949186,6
7,750,13.838385088945163,7
7,936,13.130021498861158,8
7,1645,12.43475815746088,9
8,8,65.44902744827053,0
8,1472,13.45553988431509,1
8,194,9.48196477082557,2
8,44,9.006513795630939,3
8,252,8.39520970081792,4
8,1154,7.491293351469215,5
8,977,6.973586716767665,6
8,40,6.886761037869881,7
8,972,6.8583537255778815,8
8,950,6.842467975497016,9
9,9,16.733538598816715,0
9,1873,14.44369631346763,1
9,2137,12.495675361565674,2
9,291,11.940990866312315,3
9,588,11.707943629052982,4
9,2108,11.403714922845577,5
9,637,10.134664796861534,6
9,913,9.584581507964835,7
9,42,9.497071910562374,8
9,1398,9.241177216851362,9
10,10,74.19819254890622,0
10,2,44.04310353880645,1
10,1412,39.568127110075096,2
10,220,34.30930623750986,3
10,3,33.08501006678646,4
10,1617,23.667152024268685,5
10,1221,22.172633348309965,6
10,205,21.37200483659502,7
10,136,20.493993835418166,8
10,1893,20.406498098068127,9
11,11,29.86124534680864,0
11,1488,11.737374239656967,1
11,2338,11.03954958394435,2
11,1,10.068096400092747,3
11,12,9.959874260965439,4
11,370,9.949788362590088,5
11,1690,9.925327150313628,6
11,2029,9.890035122555073,7
11,2152,9.487791503237563,8
11,991,9.485033818278358,9
12,12,45.3736691032654,0
12,1395,14.47400108123163,1
12,574,12.812648462891385,2
12,980,12.002027507463223,3
12,1606,11.160666207812241,4
12,2296,10.44811388002775,5
12,1477,10.260396385369742,6
12,1501,9.56854453254676,7
12,2460,9.538716664460388,8
12,2008,9.509715373734014,9
13,13,44.74672013238631,0
13,324,15.273246237636833,1
13,1770,13.232133869946667,2
13,1432,11.091222238588951,3
13,2337,10.893736402123462,4
13,2222,10.806797029797819,5
13,2330,10.794537392055725,6
13,2232,10.32118574101459,7
13,2447,9.967840908339092,8
13,1566,9.918962989188095,9
14,14,50.86216269547376,0
14,127,18.75269216738759,1
14,2476,14.393643280203113,2
14,539,14.30450633630096,3
14,2296,13.353035212809893,4
14,1398,12.961438026161854,5
14,1873,12.710794841844066,6
14,2137,12.61420986297409,7
14,1941,12.605315789003507,8
14,1645,12.146273839719349,9
15,15,40.92376250632073,0
15,1265,13.917928496540283,1
15,1414,12.19898189767294,2
15,2033,10.944364932967076,3
15,1175,9.18013350242132,4
15,352,8.521368308732384,5
15,1893,7.6505557934663475,6
15,1672,7.268095771884065,7
15,2078,7.111182533524488,8
15,1765,6.738224790425432,9
16,16,56.33650142945146,0
16,806,10.814421397891353,1
16,2492,10.038698663595154,2
16,85,10.020142444479474,3
16,1520,9.720610440830496,4
16,1381,8.85756043041724,5
16,1618,8.524167641043306,6
16,1739,8.434713971531771,7
16,2425,7.931992262056222,8
16,78,7.902541684301135,9
17,17,51.49493777913257,0
17,1923,20.825985941057837,1
17,257,19.88368284664954,2
17,2395,18.82182136697389,3
17,2404,16.598985436982055,4
17,1520,16.527999637315244,5
17,2318,15.998723142165431,6
17,2495,15.741250955520412,7
17,2453,15.373945409113833,8
17,2299,15.261739053363685,9
18,1941,7.983052706940182,0
18,2233,7.4095434137021154,1
18,608,7.2969233574276355,2
18,1980,6.955877043774429,3
18,1398,6.794577553490843,4
18,2136,6.670791408384736,5
18,1071,6.0010053767426035,6
18,1463,5.702077983038535,7
18,948,5.470110054606274,8
18,1227,5.414893839348107,9
19,1587,11.673894317128422,0
19,100,10.906058589415517,1
19,2319,10.777076122480153,2
19,19,9.737292343533532,3
19,2444,8.498521331077242,4
19,1739,7.141036784161776,5
19,1934,6.912495612134924,6
19,766,5.266935720032059,7
19,339,4.78081032307955,8
19,1112,4.137797340637111,9
20,20,28.48039444960486,0
20,2211,16.25612052517829,1
20,2095,13.530470772916335,2
20,2160,13.16548767303512,3
20,1885,12.791123837446783,4
20,2471,11.755518662081489,5
20,386,10.915295555707877,6
20,652,9.383038225170372,7
20,1923,9.292811100588763,8
20,1009,9.272362053386855,9
21,21,56.366128760574284,0
21,267,9.063185031083064,1
21,936,8.64535085460267,2
21,1645,8.281242356797794,3
21,463,7.683942714778108,4
21,383,7.664823837293991,5
21,544,7.533610056656965,6
21,650,7.472693527914526,7
21,865,7.336255851256559,8
21,925,7.2784768786936045,9
22,22,91.03613080737452,0
22,123,29.047359489035806,1
22,25,29.028915381934866,2
22,30,28.76157307764585,3
22,272,28.677502591322124,4
22,1109,28.613011547707266,5
22,2151,27.413693476875473,6
22,311,18.828706468913243,7
22,205,15.892316218585352,8
22,1271,15.871579149749502,9
23,23,43.209514161894305,0
23,1714,15.182356321650126,1
23,1056,14.099948965093407,2
23,733,14.062457681192368,3
23,2124,13.443654828309228,4
23,320,12.823815848999448,5
23,500,12.789046543251704,6
23,659,12.424917453703006,7
23,934,12.206614704470727,8
23,2314,12.04132929369608,9
24,24,19.405602041257033,0
24,2438,13.969510782073591,1
24,2340,13.937283905243525,2
24,2470,13.37189848557649,3
24,2214,12.655424061202197,4
24,1398,12.369159924154907,5
24,1684,12.139862055245416,6
24,2499,12.105552034933426,7
24,1941,12.033915079537994,8
24,2471,11.888021582103725,9
25,25,80.73255622902654,0
25,30,44.11943174468069,1
25,123,29.047359489035806,2
25,272,28.677502591322124,3
25,22,28.658918834976404,4
25,1109,28.613011547707266,5
25,2151,27.413693476875473,6
25,1187,20.10812953720952,7
25,1360,16.194625359003307,8
25,205,15.892316218585352,9
26,26,32.07389802549337,0
26,1215,7.017983062292095,1
26,243,6.738099967490987,2
26,2267,6.5281433112720055,3
26,593,6.250342816222037,4
26,520,6.193381591468695,5
26,554,6.1516742467846255,6
26,1386,5.765611224394753,7
26,516,5.729176094097794,8
26,54,5.724164941946295,9
27,27,40.203952867096454,0
27,1395,11.24139227032828,1
27,794,10.88477888288941,2
27,400,9.96840397745211,3
27,1447,9.838801654342491,4
27,2399,9.563490469140133,5
27,2109,9.321508224885562,6
27,858,9.188955694800873,7
27,1992,9.186732678675172,8
27,1290,8.840157693796769,9
28,28,39.62159269119477,0
28,1567,15.208739612672343,1
28,1495,13.74445767622739,2
28,1505,13.347646608743124,3
28,1941,12.301788348481617,4
28,1334,12.194005538074627,5
28,2486,11.930520756676474,6
28,2221,11.494452803827244,7
28,282,11.282071995060878,8
28,9,10.707143034364568,9
29,29,53.71353409753378,0
29,437,14.394311869646895,1
29,1730,10.204073991640183,2
29,791,7.294803651558093,3
29,53,7.075449538872315,4
29,938,6.243452563005618,5
29,9,6.094446096105408,6
29,51,5.46195859841376,7
29,52,5.412683726397561,8
29,116,5.341402778764068,9
30,30,104.6241636257434,0
30,25,44.48111303524341,1
30,1109,34.27686895416309,2
30,123,29.047359489035806,3
30,272,28.677502591322124,4
30,22,28.658918834976404,5
30,2151,27.413693476875473,6
30,205,20.867295725529605,7
30,490,20.002801670956508,8
30,2090,19.521105237799055,9
31,31,41.64654590632125,0
31,822,24.124379673312628,1
31,1000,21.682397249648027,2
31,1081,21.050533928486185,3
31,1393,20.130096945473095,4
31,1566,19.1845693618463,5
31,1836,17.727834540070646,6
31,582,17.665564068228214,7
31,1325,16.326806917025,8
31,270,15.552801674749682,9
32,32,51.196341825805696,0
32,377,13.126530981241357,1
32,409,10.83486783095609,2
32,659,9.709408375525921,3
32,2163,9.205715118026058,4
32,2021,9.111975221446816,5
32,221,8.990389491059178,6
32,932,8.906159446891264,7
32,936,8.64535085460267,8
32,1714,8.391803999334984,9
33,33,46.013338466973075,0
33,1885,11.803495301159847,1
33,738,11.455453540810366,2
33,495,10.633873294688085,3
33,936,10.425618065748477,4
33,1645,10.052865590685117,5
33,78,9.661061390301452,6
33,353,7.69503236111548,7
33,383,7.450928309444245,8
33,463,7.356840054970218,9
34,34,43.662055832020066,0
34,1271,18.111841404443506,1
34,2214,14.195387777881527,2
34,2400,13.263042807035124,3
34,2438,13.211531949579038,4
34,2462,12.911382425451965,5
34,2164,12.21681698910253,6
34,2498,12.183451445567208,7
34,2487,11.662969524387616,8
34,2156,11.415642861993692,9
35,35,72.26682055430354,0
35,1703,19.115414838237022,1
35,579,18.13372610122679,2
35,1601,16.482967125096884,3
35,302,15.030429534480689,4
35,1007,14.481805906707457,5
35,1521,13.723153048715428,6
35,1633,13.265098657151125,7
35,1602,13.167211907076979,8
35,2033,13.165387541969261,9
36,832,9.590156030337358,0
36,2347,9.501228464706413,1
36,29,9.30299895804879,2
36,2455,8.796388815063626,3
36,2107,8.594271369455583,4
36,1962,8.216555173957332,5
36,2499,8.171534085791922,6
36,2467,7.889641176304522,7
36,1626,7.65792875163522,8
36,1427,7.286898361200015,9
37,37,31.679915125863946,0
37,2152,3.609242894544413,1
37,2122,2.2111220061383694,2
37,614,1.539205479749743,3
37,1257,1.0769615088122746,4
37,1399,1.0713175227072391,5
37,2279,1.0383745036041838,6
37,2024,0.9946198704542057,7
37,934,0.9814891000708711,8
37,2151,0.9478440027641906,9
38,38,25.87367584160032,0
38,1361,15.912548345799923,1
38,936,11.793393480954702,2
38,1645,11.154518316163971,3
38,1618,9.457095335225986,4
38,51,9.231130286140113,5
38,659,9.22529593725514,6
38,320,8.956168862094659,7
38,761,8.02342778968115,8
38,934,7.692403998408748,9
39,39,98.16385445723844,0
39,97,58.4059643097922,1
39,234,42.43742629952217,2
39,125,38.30449442306021,3
39,1907,31.126065170256652,4
39,1199,29.237105914769057,5
39,1463,26.592305557979667,6
39,1271,25.410550816357393,7
39,449,23.697697747045794,8
39,1122,22.763431359972504,9
40,40,54.24011787341665,0
40,1777,17.27078798016551,1
40,7,13.846525957158118,2
40,248,13.356579239366297,3
40,2322,13.05041027663839,4
40,810,12.493367275684587,5
40,2007,11.59029417614254,6
40,1398,11.54812754861911,7
40,616,11.41062447085207,8
40,2316,11.079669709535736,9
41,41,45.27025572440111,0
41,32,14.380764039562816,1
41,1885,13.37109238661493,2
41,1716,12.37957278161289,3
41,1945,11.901847093994071,4
41,1606,9.180917547886182,5
41,936,8.64535085460267,6
41,2344,8.570190593102728,7
41,1645,8.281242356797794,8
41,463,7.683942714778108,9
42,320,12.823815848999448,0
42,42,12.552130991311843,1
42,659,12.424917453703006,2
42,934,12.206614704470727,3
42,1714,11.453303884025129,4
42,733,11.441681764175126,5
42,445,11.186621189905898,6
42,738,10.64687217590188,7
42,1086,9.541075179555492,8
42,565,9.531391381529811,9
43,43,55.774677798307394,0
43,257,19.88368284664954,1
43,1520,16.527999637315244,2
43,1923,15.797678530577214,3
43,2202,15.396588739091921,4
43,2251,13.862790920722142,5
43,1122,13.347626342726988,6
43,1007,12.642141243971471,7
43,2404,12.469828602952486,8
43,2210,11.695602389854372,9
44,44,29.44624220332908,0
44,1537,14.84666449440201,1
44,590,14.585081380173964,2
44,8,9.185656124258,3
44,357,9.11719540666987,4
44,252,8.39520970081792,5
44,1175,6.641315271297739,6
44,950,6.601960716397506,7
44,83,6.465329925397036,8
44,1143,5.788874444403602,9
45,45,51.82495239047606,0
45,1784,20.277454610215155,1
45,908,17.066296744325644,2
45,579,16.788104694854148,3
45,1665,15.431101806397272,4
45,2134,15.285414963492036,5
45,1989,12.926094401347097,6
45,2308,11.717924321826736,7
45,1165,11.53556330736673,8
45,217,11.472994564715279,9
46,46,11.307736585457043,0
46,1305,9.547412578650484,1
46,79,7.912385498423756,2
46,1784,5.990341562071921,3
46,156,5.973962067495037,4
46,659,5.482571740081735,5
46,1949,5.448054158901766,6
46,1256,5.3196555284500455,7
46,1052,5.024929809229963,8
46,927,4.962505972412256,9
47,47,33.359591442574974,0
47,892,13.536762804584626,1
47,2410,11.168463468618997,2
47,1395,10.75187570328395,3
47,1926,10.274041775758981,4
47,2383,9.82095754238929,5
47,850,9.279003115210667,6
47,840,9.081261987916545,7
47,2125,9.076325526569047,8
47,590,8.657624791730111,9
48,48,30.048728541655226,0
48,1154,14.434555784213051,1
48,2492,12.47606957296679,2
48,2233,10.808131746339475,3
48,607,10.190564550383371,4
48,1949,9.444920928111738,5
48,2045,9.347108912031475,6
48,1495,9.043162226205668,7
48,1722,8.92052110940463,8
48,1240,8.841663002215997,9
49,49,48.06112653716722,0
49,685,20.862575280844094,1
49,137,12.829199665613855,2
49,1211,12.37934928835972,3
49,1277,11.647374462165402,4
49,1908,11.48379400452888,5
49,1825,11.136618314457607,6
49,1990,10.880507841333639,7
49,1310,10.681860092262866,8
49,1771,10.037739245220529,9
50,2090,13.451554288328497,0
50,2141,13.351666027859666,1
50,2160,13.329036483623357,2
50,2130,13.32618445120534,3
50,2214,13.313597596802467,4
50,2471,13.309911866365912,5
50,2498,13.292503387182014,6
50,2329,13.275806801702103,7
50,1923,13.265489865043266,8
50,2290,13.237869736439881,9
51,51,22.537645022027487,0
51,2136,13.616962950152327,1
51,1805,12.796682932312848,2
51,2081,12.432393847499355,3
51,1980,12.181058457129236,4
51,2490,11.992768924353522,5
51,2442,11.900379312895398,6
51,2389,11.445747360333952,7
