,Mean,std,Min,0.25q,median,0.75q,max
Jaccard,"[(0.8391709593468059, 0.8612622020507126)]","[(0.2735220930553926, 0.29561718892754757)]","[(0.0, 0.0)]","[(0.75, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Recall,"[(0.8705786235807537, 0.8914932459353513)]","[(0.25314351918351574, 0.2777663445095191)]","[(0.0, 0.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Precision,"[(0.9151055881250261, 0.9332248574075153)]","[(0.2173646321109304, 0.2466264453595831)]","[(0.0, 0.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
F1,"[(0.8713216795276687, 0.890876118112633)]","[(0.2369474021123897, 0.2618668485931053)]","[(0.0, 0.0)]","[(0.8571428571428571, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
EditDist,"[(4.2392, 5.3836)]","[(12.894255930452132, 16.18228706209354)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 3.0)]","[(127.0, 150.0)]"
EM,"[(0.7128, 0.7472)]","[(0.43484452393930406, 0.45264361256953584)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
BERT,"[(0.9107860450088978, 0.9237712631940842)]","[(0.1575789967621362, 0.1725280907983916)]","[(0.0, 0.2632241249084472)]","[(0.8975481390953064, 0.9592295289039612)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.000000238418579, 1.000000238418579)]"
Perp_ans,"[(1.071112985285333, 1.079717680613215)]","[(0.09898452456684508, 0.12051166364887131)]","[(1.0000470392774654, 1.0001876127499287)]","[(1.0070858536693967, 1.0093447305204026)]","[(1.0330383816863828, 1.0397231820542872)]","[(1.0948320814676265, 1.108583175266239)]","[(1.9240991422114917, 2.4296165270849923)]"
IDK,"[(0.0, 0.002)]","[(0.0, 0.044676615807377355)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 1.0)]"
Time,"[(0.008884709045092216, 0.009150136701265922)]","[(0.0031564964817260787, 0.003599468052389853)]","[(0.0033473292986551, 0.003433609008789)]","[(0.0065939227739969, 0.0067682862281799)]","[(0.0081786672274271, 0.00842004219690955)]","[(0.0100876649220784, 0.0105976263682047)]","[(0.0323600769042968, 0.0347994009653727)]"
