,Mean,std,Min,0.25q,median,0.75q,max
Jaccard,"[(0.04683045791726906, 0.06108946378240496)]","[(0.16380973018372533, 0.1957928735307431)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Recall,"[(0.05710677544677544, 0.07244574977550829)]","[(0.18207752051691894, 0.2113181200747437)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Precision,"[(0.07350445332445331, 0.09160081696081696)]","[(0.2181804251507691, 0.24774294933921986)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
F1,"[(0.06059753522348488, 0.07664592421050748)]","[(0.18661513804213647, 0.21552632402252564)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
EditDist,"[(15.2908, 16.6848)]","[(16.046319607935025, 19.06699986468768)]","[(0.0, 0.0)]","[(6.0, 7.0)]","[(11.0, 12.0)]","[(18.0, 20.0)]","[(149.0, 154.0)]"
EM,"[(0.02, 0.0324)]","[(0.13999999999999999, 0.1770599898339543)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
BERT,"[(0.5146685643017292, 0.5296364665150642)]","[(0.1824284567571256, 0.19931383331654123)]","[(-1.0, 0.0)]","[(0.3861928880214691, 0.3971553742885589)]","[(0.4674200117588043, 0.48155093193054194)]","[(0.6031369566917419, 0.6362815499305725)]","[(1.000000238418579, 1.000000238418579)]"
Perp_ans,"[(2.593498110756771, 2.687806246714573)]","[(1.1472125424445838, 1.2744416777140555)]","[(1.0238315300123382, 1.0509320904088455)]","[(1.7768472937871629, 1.839370526021131)]","[(2.265394025732043, 2.3581952926618532)]","[(3.0475387283431545, 3.2164562039670246)]","[(9.43927572947129, 10.6469714074176)]"
IDK,"[(0.0828, 0.1056)]","[(0.27557967994756066, 0.3068109515646403)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Time,"[(0.0038323275295892843, 0.003946851878166149)]","[(0.0013180167326149407, 0.001586579378050937)]","[(0.001898318529129, 0.0019165138403574)]","[(0.0028366903463999, 0.0030254900455474)]","[(0.0035525759061177, 0.0037084619204203)]","[(0.0045148770014444, 0.0046486437320709)]","[(0.0169624984264373, 0.0183845301469167)]"
