,Mean,std,Min,0.25q,median,0.75q,max
Jaccard,"[(0.7188742397783388, 0.7493566849828454)]","[(0.38351964163988533, 0.40144758679384585)]","[(0.0, 0.0)]","[(0.4, 0.5)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Recall,"[(0.7458695455021987, 0.7767685014199194)]","[(0.37783542474910076, 0.3974957289092543)]","[(0.0, 0.0)]","[(0.5, 0.6666666666666666)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Precision,"[(0.7845053927943403, 0.8145541370583321)]","[(0.3682872255731442, 0.39143507689620916)]","[(0.0, 0.0)]","[(0.8333333333333334, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
F1,"[(0.7468824305056947, 0.7764364774622765)]","[(0.3681412334703943, 0.3885702389967752)]","[(0.0, 0.0)]","[(0.5714285714285715, 0.6666666666666666)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
EditDist,"[(6.3324, 7.6384)]","[(15.165291424829263, 18.41372261765665)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(5.0, 8.0)]","[(136.0, 150.0)]"
EM,"[(0.6104, 0.6488)]","[(0.47746983150770894, 0.4877499359302879)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
BERT,"[(0.8381240660309791, 0.8566551213681698)]","[(0.22947741786457265, 0.24237825559165516)]","[(0.0, 0.2263517826795578)]","[(0.6789419651031494, 0.7556205987930298)]","[(0.9999999403953552, 0.9999999403953552)]","[(1.0, 1.0)]","[(1.000000238418579, 1.000000238418579)]"
Perp_ans,"[(1.0796109002064849, 1.0893482686224478)]","[(0.11002147970676088, 0.1432868869817918)]","[(1.0000470392774654, 1.0001876127499287)]","[(1.0081069081035086, 1.0108278040993988)]","[(1.0374406224173354, 1.04628078612122)]","[(1.1047936397672915, 1.1210695539020972)]","[(1.9273448776151243, 3.220278572450644)]"
IDK,"[(0.076, 0.098)]","[(0.26499811320083017, 0.29731464814233416)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Time,"[(0.00868863891283666, 0.008948343828519136)]","[(0.003063186287587681, 0.00348623916463317)]","[(0.0033473292986551, 0.003433609008789)]","[(0.0064184625943501, 0.0065979520479838)]","[(0.00801174243291215, 0.008225146929422951)]","[(0.0098342339197794, 0.0102174202601114)]","[(0.0287240028381347, 0.0347994009653727)]"
