,M_Question,M_RAG,M_Context
Jaccard_mean,0.053883841065481934,0.7341921519720713,0.8502792220963354
Jaccard_std,0.18041206793542588,0.39283134955601845,0.28479541466279207
Recall_mean,0.06463842677171469,0.761359002311185,0.8811541823942596
Recall_std,0.19711763749528755,0.3878987971471132,0.2655556827852757
Precision_mean,0.08244889776889777,0.7997267807785609,0.9243444277891236
Precision_std,0.23311337997764722,0.38027672518433503,0.2323096473315442
F1_mean,0.06843109410939055,0.7618322272354093,0.8812900699060856
F1_std,0.20133475822599226,0.37859969773254093,0.24954095016512173
EditDist_mean,15.9744,6.9632,4.8044
EditDist_std,17.572687462081603,16.790814326887187,14.583296631420481
EM_mean,0.026,0.6296,0.7296
EM_std,0.15913516267626082,0.4829118346033777,0.4441664552845026
BERT_mean,0.5221302980542183,0.8474944338917733,0.9173067663490773
BERT_std,0.19042007413187692,0.23614149237262075,0.1653312153900821
Perp_ans_mean,2.640406643546472,1.0843844012235542,1.0753061102176977
Perp_ans_std,1.2116357056839286,0.12536761799974958,0.1093540634527422
IDK_mean,0.094,0.0868,0.0008
IDK_std,0.2918287168871494,0.28154175534012715,0.028272955275315665
Time_mean,0.0038890189584095767,0.008816263917287142,0.00901463682015732
Time_std,0.0014506995018757098,0.0032732702976670637,0.003373439737865045
