,Mean,std,Min,0.25q,median,0.75q,max
Jaccard,"[(0.840345936186481, 0.8624008062054407)]","[(0.2712609251394264, 0.29297941139404404)]","[(0.0, 0.0)]","[(0.75, 0.9473684210526316)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Recall,"[(0.8753512059399149, 0.8954387370972108)]","[(0.24808906187723015, 0.27282488271691)]","[(0.0, 0.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Precision,"[(0.9138481679444379, 0.931960447000241)]","[(0.21737494039171565, 0.24610352195315402)]","[(0.0, 0.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
F1,"[(0.8729646842521235, 0.8921843169098562)]","[(0.2336515835202374, 0.2586764702629659)]","[(0.0, 0.0)]","[(0.8571428571428571, 0.972972972972973)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
EditDist,"[(4.4012, 5.5476)]","[(13.158009575919909, 16.247694782953058)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 3.0)]","[(127.0, 150.0)]"
EM,"[(0.7112, 0.7456)]","[(0.43552340924455485, 0.4535767189792704)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
BERT,"[(0.9125827826082706, 0.925295785176754)]","[(0.15413107041878688, 0.16907601916146006)]","[(0.0, 0.2797679007053375)]","[(0.8975481390953064, 0.954553246498108)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.000000238418579, 1.000000238418579)]"
Perp_ans,"[(1.0691560448362172, 1.077397456363608)]","[(0.09646615914406373, 0.11591988278520621)]","[(1.000050795035969, 1.000133581969683)]","[(1.006356366171344, 1.0079707106750595)]","[(1.0310985647892117, 1.038497239742458)]","[(1.092965081611573, 1.1047698609084653)]","[(1.9377732757120525, 2.205532543621897)]"
IDK,"[(0.0, 0.002)]","[(0.0, 0.044676615807377355)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 1.0)]"
Time,"[(0.01444113821188604, 0.014707301740646312)]","[(0.0031643971939738632, 0.0036240392708622284)]","[(0.0093969186147054, 0.0094476540883382)]","[(0.0122304161389668, 0.0123409827550252)]","[(0.0135504841804504, 0.0138532618681589)]","[(0.0156339089075724, 0.0160380323727925)]","[(0.036860716342926, 0.0440400838851928)]"
