,Mean,std,Min,0.25q,median,0.75q,max
Jaccard,"[(0.07921922842952255, 0.09754122752410987)]","[(0.21853183257305783, 0.2485490785447133)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Recall,"[(0.0955426845727372, 0.11532617205532683)]","[(0.2414966462397368, 0.26925396977786775)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Precision,"[(0.1119259829059829, 0.1338975702075702)]","[(0.2670772855907215, 0.29405864403036097)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
F1,"[(0.0982644737110332, 0.11851237000298047)]","[(0.24168747435173937, 0.26865105075655765)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
EditDist,"[(15.3396, 16.7184)]","[(16.401664983775273, 19.556347515832297)]","[(0.0, 0.0)]","[(6.0, 6.0)]","[(11.0, 12.0)]","[(18.0, 20.0)]","[(149.0, 169.0)]"
EM,"[(0.0384, 0.0548)]","[(0.19215993338883108, 0.22680529094357565)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
BERT,"[(0.5190231595575809, 0.5344915566027164)]","[(0.18939079812834503, 0.2063644111750745)]","[(-1.0, 0.0)]","[(0.3876092731952667, 0.3987272083759308)]","[(0.47089172899723053, 0.4855300039052963)]","[(0.6124733090400696, 0.6459261775016785)]","[(1.000000238418579, 1.000000238418579)]"
Perp_ans,"[(2.586742782273382, 2.686610577374815)]","[(1.2063578261558923, 1.354614898006889)]","[(1.0165730997971854, 1.0551530751417524)]","[(1.7325977801718575, 1.802106393822436)]","[(2.255042007719773, 2.3501450827823716)]","[(3.087523307176831, 3.2260131796669964)]","[(10.38564636622228, 12.373963183660406)]"
IDK,"[(0.106, 0.1316)]","[(0.3083488933010787, 0.3384907679686405)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Time,"[(0.00608961535215373, 0.00619789863030111)]","[(0.0012525140850999077, 0.0015298913923147024)]","[(0.004169350862503, 0.0044458210468292)]","[(0.0051502088705698, 0.0052816768487294)]","[(0.005789041519165, 0.0058671752611796)]","[(0.0065648555755615, 0.006767863035202)]","[(0.0190213819344838, 0.0191347161928812)]"
