,Mean,std,Min,0.25q,median,0.75q,max
Jaccard,"[(0.719493391728277, 0.7500314207874454)]","[(0.38236814590564555, 0.4001065540753346)]","[(0.0, 0.0)]","[(0.4, 0.5)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Recall,"[(0.7494890689310688, 0.7798815029083975)]","[(0.37549692268746376, 0.3958141655296836)]","[(0.0, 0.0)]","[(0.5, 0.6666666666666666)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Precision,"[(0.7834316120835686, 0.8130830117949683)]","[(0.36783003781456725, 0.39075325687627044)]","[(0.0, 0.0)]","[(0.8, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
F1,"[(0.7477763380641087, 0.7772116221720099)]","[(0.36675096265945584, 0.3871703770027754)]","[(0.0, 0.0)]","[(0.5882352941176471, 0.6666666666666666)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
EditDist,"[(6.3836, 7.7212)]","[(15.201843735547344, 18.431269512434568)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(5.0, 8.0)]","[(145.0, 150.0)]"
EM,"[(0.6084, 0.6464)]","[(0.47808685403386697, 0.4881080208314549)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
BERT,"[(0.8396758565962315, 0.8580458229243755)]","[(0.22738444651232564, 0.24048965383506346)]","[(0.0, 0.2249642014503479)]","[(0.687167227268219, 0.760008692741394)]","[(0.9999999403953552, 0.9999999403953552)]","[(1.0, 1.0)]","[(1.000000238418579, 1.000000238418579)]"
Perp_ans,"[(1.0802888697667596, 1.0902189969656486)]","[(0.1156547109943211, 0.13680263117798072)]","[(1.000050795035969, 1.000133581969683)]","[(1.0072679933990456, 1.0098367025010366)]","[(1.0366140000782575, 1.0443331745175788)]","[(1.1023967166813842, 1.118824288036803)]","[(1.9772252727237905, 2.205532543621897)]"
IDK,"[(0.0744, 0.0964)]","[(0.26242073088839607, 0.29513901809147497)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Time,"[(0.014239269512494357, 0.014498548617362928)]","[(0.0030992893607878656, 0.0035864796959696387)]","[(0.0093969186147054, 0.0094723065694173)]","[(0.0121366699536641, 0.0122525175412495)]","[(0.0133115212122599, 0.0136204083760579)]","[(0.0153325279553731, 0.0157411654790242)]","[(0.0391672492027282, 0.0440400838851928)]"
