,M_Question,M_RAG,M_Context
Jaccard_mean,0.08834393229042374,0.7347866225561828,0.8513104795537041
Jaccard_std,0.2338104347774745,0.39153988356059377,0.2823648844663603
Recall_mean,0.10530848825993408,0.7648319979821806,0.8856449558430333
Recall_std,0.2557428545140241,0.3860769209461906,0.2603749271205479
Precision_mean,0.12280153846153846,0.7983770777874554,0.9231162863055641
Precision_std,0.2809680424253695,0.3798745719558263,0.23203200632083848
F1_mean,0.10830948381172746,0.7628540221519649,0.8826980433762764
F1_std,0.25568007767504863,0.3772377158997854,0.24650389501251307
EditDist_mean,16.0064,7.028,4.966
EditDist_std,17.98038817823464,16.834845291834434,14.718479676923158
EM_mean,0.0464,0.6272,0.728
EM_std,0.21034980389817337,0.483549542446273,0.4449898875255482
BERT_mean,0.5267012061357498,0.8489761098444462,0.9189694386541843
BERT_std,0.19746436929425484,0.23415585044643486,0.1617446374391178
Perp_ans_mean,2.6359470004557726,1.0851229075144124,1.0731676861838364
Perp_ans_std,1.2791943382318567,0.12619748634039638,0.10585872588147427
IDK_mean,0.1188,0.0852,0.0008
IDK_std,0.3235530250206294,0.2791790823109783,0.028272955275315665
Time_mean,0.006142559256553602,0.014367571198145497,0.014572622539202326
Time_std,0.0013873503374347098,0.0033392661440140212,0.0033920778805647885
