,Mean,std,Min,0.25q,median,0.75q,max
Jaccard,"[(0.4905759173506232, 0.5237172473931297)]","[(0.41780432534762024, 0.4273420102274522)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.4285714285714285, 0.5)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Recall,"[(0.5823241269841269, 0.6164340981240981)]","[(0.42890796126665215, 0.4401103138458641)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.75, 0.8)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Precision,"[(0.531750735930736, 0.5645821067821069)]","[(0.41813207989474194, 0.4279542463691462)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.5, 0.6666666666666666)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
F1,"[(0.541198817704035, 0.574301569462081)]","[(0.4124091252297244, 0.42312970453161286)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.6, 0.6666666666666666)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
EditDist,"[(5.7888, 6.4524)]","[(8.1096740649671, 8.957965581536916)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(2.0, 2.0)]","[(9.0, 11.0)]","[(53.0, 65.0)]"
EM,"[(0.3492, 0.3872)]","[(0.47659055802648886, 0.48711000810905125)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
BERT,"[(0.7919399350523949, 0.8108037529528141)]","[(0.2360969735252783, 0.24608815577077534)]","[(0.1848949640989303, 0.216202437877655)]","[(0.5724971294403076, 0.624103307723999)]","[(0.9747495651245116, 0.9999999403953552)]","[(1.0, 1.0)]","[(1.000000238418579, 1.000000238418579)]"
Perp_ans,"[(1.087739970657566, 1.1024562700575737)]","[(0.13485075322369916, 0.2551554221666277)]","[(1.0000584170892772, 1.000140070605795)]","[(1.005752706574527, 1.007744705076625)]","[(1.0326383178766956, 1.0404727342546463)]","[(1.1094438276147336, 1.124944380101902)]","[(2.3808450690420853, 6.989053231260166)]"
IDK,"[(0.0168, 0.0284)]","[(0.128521437900453, 0.1661127328051646)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Time,"[(0.025782212758064225, 0.026651767168044994)]","[(0.011028560735378008, 0.011714313364011455)]","[(0.006136401494344, 0.0080415924390157)]","[(0.0170558412869771, 0.017797029018402)]","[(0.023120099306106548, 0.02398861050605765)]","[(0.0318567991256713, 0.0335427323977152)]","[(0.0648842255274454, 0.0663905938466389)]"
