,Mean,std,Min,0.25q,median,0.75q,max
Jaccard,"[(0.21879947052947055, 0.2505164935064935)]","[(0.39887172130337833, 0.41987765354800494)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.1428571428571428, 0.3333333333333333)]","[(1.0, 1.0)]"
Recall,"[(0.22774984126984127, 0.2600290476190476)]","[(0.4017681854633232, 0.4219554947311231)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.25, 0.5)]","[(1.0, 1.0)]"
Precision,"[(0.22901809523809524, 0.2610561904761905)]","[(0.40237338130268063, 0.4225765201610038)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.25, 0.5)]","[(1.0, 1.0)]"
F1,"[(0.22776651126651126, 0.25966795426795425)]","[(0.4013259474121287, 0.4218198084375051)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.25, 0.5)]","[(1.0, 1.0)]"
EditDist,"[(9.8976, 10.6048)]","[(8.70886602032664, 9.419130584082588)]","[(0.0, 0.0)]","[(1.0, 3.0)]","[(9.0, 10.0)]","[(15.0, 16.0)]","[(56.0, 64.0)]"
EM,"[(0.2004, 0.2328)]","[(0.40029968773407754, 0.42261585393830176)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
BERT,"[(0.5999874123513699, 0.619834795242548)]","[(0.2503410595640804, 0.2590564137810013)]","[(0.0, 0.2182343006134033)]","[(0.3854807615280151, 0.4001006782054901)]","[(0.5166844129562378, 0.5452091693878174)]","[(0.7633386850357056, 0.9405373930931092)]","[(1.0000001192092896, 1.0000001192092896)]"
Perp_ans,"[(1.9998597413727246, 2.118442042967809)]","[(1.378656053962355, 1.6084388925000004)]","[(1.0029066807603697, 1.0104715849714636)]","[(1.1099228703938002, 1.1262552536118564)]","[(1.5345582650394363, 1.6933946840043417)]","[(2.4115822575568826, 2.532409538440386)]","[(11.802196991446609, 13.823328517682384)]"
IDK,"[(0.0436, 0.0612)]","[(0.20420342798297975, 0.23969680848939143)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Time,"[(0.0045279490184783455, 0.004655763157208712)]","[(0.0015207326092900252, 0.0017264752803874946)]","[(0.001830518245697, 0.0019150455792744)]","[(0.0034917374451955, 0.0035935560862223)]","[(0.00424285531044, 0.0043632825215657)]","[(0.0051793535550435, 0.0054426987965901)]","[(0.0170385996500651, 0.0171792904535929)]"
