,Mean,std,Min,0.25q,median,0.75q,max
Jaccard,"[(0.46157373489255843, 0.49501760148348384)]","[(0.42177596599168066, 0.431279566459405)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.3333333333333333, 0.5)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Recall,"[(0.5434268253968254, 0.5775848629148629)]","[(0.4370609911408647, 0.44638529798252863)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.6666666666666666, 0.75)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Precision,"[(0.5023048340548341, 0.535565974025974)]","[(0.4247927010517602, 0.43401372216585277)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.5, 0.6)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
F1,"[(0.5094825847866258, 0.542691393051393)]","[(0.4202916859246262, 0.4299268935916082)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.5, 0.6666666666666665)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
EditDist,"[(6.1104, 6.7824)]","[(8.205639767866975, 9.163705198226316)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(2.0, 3.0)]","[(10.0, 12.0)]","[(53.0, 85.0)]"
EM,"[(0.328, 0.3652)]","[(0.46933808709713726, 0.4812615089532924)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
BERT,"[(0.7709497786581516, 0.7909600478827953)]","[(0.2488256574481242, 0.25815648789061724)]","[(0.1848949640989303, 0.2040076702833175)]","[(0.5202473402023315, 0.5680580139160156)]","[(0.8598781228065491, 0.9999998807907104)]","[(1.0, 1.0)]","[(1.000000238418579, 1.000000238418579)]"
Perp_ans,"[(1.096512989669664, 1.112754388630575)]","[(0.14978407666948337, 0.27876538156669756)]","[(1.0000584170892772, 1.000140070605795)]","[(1.0067843136737449, 1.0089859229344056)]","[(1.0359395075744362, 1.0444335599835606)]","[(1.1174794825556422, 1.135556310594186)]","[(2.503483823666555, 6.989053231260166)]"
IDK,"[(0.048, 0.066)]","[(0.21291838812089484, 0.24897999919672262)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Time,"[(0.02628761980056758, 0.02719033895969386)]","[(0.011304928876789461, 0.012014972431014256)]","[(0.006136401494344, 0.0078693668047587)]","[(0.0173473596572876, 0.0180661916732788)]","[(0.02340240081151325, 0.024522312482198)]","[(0.0325134754180908, 0.0349158962567647)]","[(0.0650093436241149, 0.0700348059336344)]"
