,M_Question,M_RAG,M_Context
Jaccard_mean,0.2345421445221445,0.4782289734448558,0.5073300268359091
Jaccard_std,0.4097148918771377,0.4266278316489093,0.4227545911849832
Recall_mean,0.24377730158730154,0.5605118759018758,0.5992045743145743
Recall_std,0.41223951615174154,0.4419118741016216,0.4348353863167455
Precision_mean,0.2449171428571429,0.5189562626262626,0.548262453102453
Precision_std,0.4128454756752066,0.4295532364933832,0.423147737098798
F1_mean,0.24371742035742036,0.5259989130988364,0.5576652334451567
F1_std,0.4118880097858845,0.4252455833054715,0.41786206227454437
EditDist_mean,10.2496,6.44,6.12
EditDist_std,9.063117556337884,8.668886895097893,8.52943139957172
EM_mean,0.2164,0.3464,0.368
EM_std,0.4117900435901772,0.47582248790909404,0.48226133993924913
BERT_mean,0.6098538008868695,0.7810161293387413,0.8014212436556816
BERT_std,0.25478759285963765,0.2536936213127273,0.24123423209035885
Perp_ans_mean,2.058876973331788,1.1040620490327,1.094563607796442
Perp_ans_std,1.493870910395087,0.20759241039237872,0.1866852488811101
IDK_mean,0.0524,0.0568,0.0224
IDK_std,0.2228323136351638,0.23146006134968516,0.14798053926107987
Time_mean,0.0045914066012699905,0.02673302413940425,0.026218688041369075
Time_std,0.001622889779313277,0.011668357342103522,0.011369388227312425
