,Mean,std,Min,0.25q,median,0.75q,max
Jaccard,"[(0.4817459444477092, 0.5153473717132542)]","[(0.4200648718769571, 0.42955758074187134)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.4, 0.5)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Recall,"[(0.5711607936507936, 0.6058069841269841)]","[(0.4329225839327248, 0.4434717993809276)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.75, 0.8)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Precision,"[(0.5219005483405483, 0.555219696969697)]","[(0.42150054120316083, 0.43104845812306175)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.5, 0.6666666666666666)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
F1,"[(0.5309508338720103, 0.5643123509170568)]","[(0.415736326230249, 0.4261396113062132)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.5714285714285715, 0.6666666666666666)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
EditDist,"[(6.1008, 6.7924)]","[(8.385457163446725, 9.251698317606342)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(2.0, 2.0)]","[(10.0, 12.0)]","[(53.0, 71.0)]"
EM,"[(0.344, 0.3816)]","[(0.47517222141030085, 0.4856815417534416)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
BERT,"[(0.785809596246481, 0.8050626454114914)]","[(0.23947102890551086, 0.2495236902705384)]","[(0.1848949640989303, 0.2062759548425674)]","[(0.5662200450897217, 0.6171903610229492)]","[(0.9090524315834044, 0.9999999403953552)]","[(1.0, 1.0)]","[(1.000000238418579, 1.000000238418579)]"
Perp_ans,"[(1.0759152626121418, 1.087242619684151)]","[(0.1260332004523583, 0.16044359746384348)]","[(1.0000325456856207, 1.0001097126186906)]","[(1.0054537572859976, 1.0075178016947626)]","[(1.0293857200096288, 1.0343450006479018)]","[(1.0861091064175952, 1.100984748997064)]","[(2.4505472740848107, 2.895776963795247)]"
IDK,"[(0.0024, 0.008)]","[(0.04893097178679369, 0.08908422980528034)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Time,"[(0.0324625334612528, 0.03338129057407375)]","[(0.011391496405722035, 0.01213743374800587)]","[(0.0114320039749145, 0.0139347235361735)]","[(0.0236917694409688, 0.0244789997736612)]","[(0.029636667172114, 0.0310280839602152)]","[(0.038239300251007, 0.0398475567499796)]","[(0.0720829765001932, 0.0726809501647949)]"
