,Mean,std,Min,0.25q,median,0.75q,max
Jaccard,"[(0.45313362630833215, 0.4868000299700299)]","[(0.4233842678149299, 0.43312970923951416)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.3333333333333333, 0.4285714285714285)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Recall,"[(0.533177619047619, 0.568547619047619)]","[(0.43992960320343205, 0.4488438601910657)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.6666666666666666, 0.75)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
Precision,"[(0.49264494949494947, 0.5265874025974027)]","[(0.4273310630004643, 0.4364209291051881)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.5, 0.5714285714285714)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
F1,"[(0.499574027410498, 0.5329776556776558)]","[(0.4227890225189619, 0.43222165508967547)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.5, 0.6)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
EditDist,"[(6.4576, 7.1772)]","[(8.51992717339767, 9.503722310758032)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(2.0, 3.0)]","[(11.0, 12.0)]","[(53.0, 85.0)]"
EM,"[(0.3232, 0.3604)]","[(0.4678493774709976, 0.48023261030463144)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]","[(1.0, 1.0)]"
BERT,"[(0.7650112121880055, 0.7852611191391945)]","[(0.2522752440272521, 0.26171635662007453)]","[(0.1828018277883529, 0.1901765912771225)]","[(0.5159093737602234, 0.5621708035469055)]","[(0.8302507996559143, 0.9999998807907104)]","[(1.0, 1.0)]","[(1.000000238418579, 1.000000238418579)]"
Perp_ans,"[(1.0883201032926344, 1.102939750371148)]","[(0.15792857509504157, 0.21675824456318482)]","[(1.0000325456856207, 1.0001097126186906)]","[(1.006551241622295, 1.008653268698513)]","[(1.0322682856746068, 1.038067311822694)]","[(1.0971763571766155, 1.110551917667409)]","[(2.823547215120448, 4.353642420157471)]"
IDK,"[(0.016, 0.0272)]","[(0.125475097130865, 0.1638238077936171)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Time,"[(0.03304243727048233, 0.03399445540904994)]","[(0.011775707107762011, 0.012538406313126164)]","[(0.0114320039749145, 0.0136062582333882)]","[(0.0239419182141621, 0.0248175382614135)]","[(0.0303996205329895, 0.0316682835419972)]","[(0.0391190965970357, 0.0413703004519144)]","[(0.0734681328137715, 0.0852126280466715)]"
