,M_Question,M_RAG,M_Context
Jaccard_mean,0.2496248273948274,0.46989972380560613,0.49838617402205637
Jaccard_std,0.4162872481274874,0.42836743688987045,0.4249666620630331
Recall_mean,0.26080144300144303,0.5508455555555555,0.5885115873015874
Recall_std,0.4195842387360088,0.44454003112049056,0.4384464240378748
Precision_mean,0.2635355555555556,0.5094015007215007,0.5384534054834055
Precision_std,0.4198004635530972,0.43203983800146384,0.4264376314810332
F1_mean,0.26069134865134863,0.5163924785671845,0.5474985391732451
F1_std,0.41836378283113784,0.42770581644817834,0.42108919234298675
EditDist_mean,10.0316,6.81,6.4452
EditDist_std,8.990806495526417,9.001972006177313,8.815792474871445
EM_mean,0.2284,0.342,0.3628
EM_std,0.419801667457384,0.474379594839407,0.48080782023590257
BERT_mean,0.6102680724859237,0.7750992389559745,0.7953027904212475
BERT_std,0.2590247315358982,0.25701426460350335,0.24461067330198022
Perp_ans_mean,2.1185497677107223,1.095418148557371,1.0814447907750324
Perp_ans_std,1.5971754764501576,0.18571201809493035,0.1432174252260668
IDK_mean,0.0828,0.0216,0.0052
IDK_std,0.27557967994756066,0.14537345012071498,0.07192329247191065
Time_mean,0.006411235915819754,0.033522528610229446,0.032920542894999134
Time_std,0.0013951766660479582,0.012161662168821722,0.011770918267066725
